event_id	section	record_unit_id	page	statement_id	visible_owner	master_card_id	visible_surface	invariant_value_de	left_value_de	right_value_de	terminal_status
E003	HERBAL	H1	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC055	char	davon	Vorbereitung	Teil	NONCLOSE
E004	HERBAL	H1	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC086	chty	Teil	davon	Aufnahmegefäß	NONCLOSE
E008	HERBAL	H1	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC026	oky	einsetzen	Folgeteil	Sollmaß	NONCLOSE
E009	HERBAL	H1	f10r	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC039	daiin	Sollmaß	einsetzen	kleiner Rest	NONCLOSE
E013	HERBAL	H1	f10r	H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC153	chol	weiter	Folgegang	bereit	NONCLOSE
E014	HERBAL	H1	f10r	H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC161	cthy	bereit	weiter	END	NONCLOSE
E016	HERBAL	H2	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC161	cthy	bereit	Auszugsansatz	Ansatz	NONCLOSE
E017	HERBAL	H2	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC080	chor	Ansatz	bereit	Sollvorbereitung	NONCLOSE
E020	HERBAL	H2	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC123	dy	dies	bereiter Folgeposten	dies	NONCLOSE
E021	HERBAL	H2	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC123	chy	dies	dies	Sollmaß	NONCLOSE
E022	HERBAL	H2	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC039	taiin	Sollmaß	dies	dies	NONCLOSE
E023	HERBAL	H2	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC123	shy	dies	Sollmaß	END	NONCLOSE
E025	HERBAL	H2	f10r	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC080	chor	Ansatz	Folgeansatz	Fortgang	NONCLOSE
E027	HERBAL	H2	f10r	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MC153	chol	weiter	Fortgang	derselbe Ansatz	NONCLOSE
