statement_id	page	record	owner_noun_de	inventory_roots	event_trace	working_reading_de	global_machine_claim
H1-S001	f10r	H1	die breite gezahnte Bluetenpflanze	OR>O>AIR	E002:CTH+O+OR | E006:CH+AIR	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; Wasser entnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz anwenden.	NONE__LOCAL_TOOLKIT_ONLY
H2-S001	f10r	H2	die breite gezahnte Bluetenpflanze	OR>O	E015:Y+CH+E+OR | E017:OR | E019:O+CTH+OL+Y	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.	NONE__LOCAL_TOOLKIT_ONLY
H2-S003	f10r	H2	die breite gezahnte Bluetenpflanze	OR>O	E032:O+Y+K+OR | E033:OR | E034:OR | E038:CH+O+AIIN	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Arbeitsstufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.	NONE__LOCAL_TOOLKIT_ONLY
H5-S001	f56r	H5	die mehrkoepfige stachelige Pflanze	HO>OR	E074:HO+CH+OR | E075:HO | E076:HO+AL+Y | E078:HO | E080:OT+CH+OR	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.	NONE__LOCAL_TOOLKIT_ONLY
H5-S002	f56r	H5	die mehrkoepfige stachelige Pflanze	HO>O>CKH	E084:HO+Y | E086:CH+EE+CKH+O+DY	Bei der mehrkoepfigen stacheligen Pflanze: Den vorigen Vorgang wiederaufnehmen, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen.	NONE__LOCAL_TOOLKIT_ONLY
H5-S005	f56r	H5	die mehrkoepfige stachelige Pflanze	HO>O	E094:HO | E096:K+HO+AR | E097:OT+O+AIN	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen.	NONE__LOCAL_TOOLKIT_ONLY
B1-S002	f81v	B1	das gemeinsame zweireihige Becken	AIR>OR>CKH	E103:K+AIR | E113:OL+OR | E115:SH+E+CKH+AL | E119:CKH+Y	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	NONE__LOCAL_TOOLKIT_ONLY
B1-S018	f81v	B1	das gemeinsame zweireihige Becken	O>SOLK	E161:O+IIN | E162:SOLK+EE+DY	Am gemeinsamen zweireihigen Becken: Den laufenden Posten weiterleiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Arbeitsstufe; dann laenger an der Sammelstelle halten; den Schritt schliessen.	NONE__LOCAL_TOOLKIT_ONLY
B2-S005	f82r	B2	die oberen Paarbecken mit Zylinder	SOLK>CKH>O	E178:SOLK+AIIN | E179:CKH+Y | E182:O+CTH+E+OL	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass an der Sammelstelle halten. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft fortsetzen, laenger erwaermen, weiterleiten und schliessen.	NONE__LOCAL_TOOLKIT_ONLY
B3-S026	f83r	B3	der bildlich unverbundene Zwischenabschnitt und das durch den Bogen verbundene Hauptpaar	OR>SOLK	E290:AL+R+OR | E291:SOLK+EE+DY	Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Sollmass weiterleiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz an der Zielstelle kuehlen, laenger an der Sammelstelle halten und schliessen.	NONE__LOCAL_TOOLKIT_ONLY
B4-S014	f83r	B4	die linke offene Randstation	OR>O>CKH>AIR	E348:OR | E350:O+CKH+E+Y | E351:AIR+Y+DY	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, die laufende Fluessigkeit als aktuellen Posten fuehren und schliessen.	NONE__LOCAL_TOOLKIT_ONLY
