exact_card_id	semantic_family	component_recipe	pass733_reading_de	pass734_reading_de	inventory_roots	registered_surfaces	events	inventory_revision
PROC002	SEM002	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	BEREITEN · ARBEITSGANG · ANSATZ	OR+O	cthoor	1	NO
PROC006	SEM006	CH+AIR	ENTNEHMEN · WASSER	ENTNEHMEN · WASSER	AIR	chair	1	NO
PROC015	SEM014	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	DIES · ENTNEHMEN · KURZ · ANSATZ	OR	ycheor	1	NO
PROC016	SEM015	OR	ANSATZ	ANSATZ	OR	chor|or|shor|sor	7	NO
PROC018	SEM017	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · WEITER · DIES	ARBEITSGANG · BEREITEN · WEITER · DIES	O	qoctholy	1	NO
PROC020	SEM019	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	DANACH · ENTNEHMEN · ANSATZ	OR	otchor|qotchor	2	NO
PROC022	SEM021	OL+OR	WEITER · ANSATZ	WEITER · ANSATZ	OR	cholor|olor	2	NO
PROC023	SEM022	O+Y+K+OR	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	OR+O	oykchor	1	NO
PROC025	SEM024	CH+O+AIIN	ENTNEHMEN · ARBEITSGANG · SOLLMASS	ENTNEHMEN · ARBEITSGANG · SOLLMASS	O	chodaiin	1	NO
PROC027	SEM026	SH+O+AL	HALTEN · ARBEITSGANG · ZIELSTELLE	HALTEN · ARBEITSGANG · ZIELSTELLE	O	schoal	1	NO
PROC032	SEM031	T+CH+O+DY	ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	O	tchody	1	NO
PROC033	SEM032	SH+O+Y+T+Y	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	O	shoyty	1	NO
PROC041	SEM040	O+DY	ARBEITSGANG · SCHLUSS	ARBEITSGANG · SCHLUSS	O	ody	1	NO
PROC045	SEM044	CH+E+O+AR	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	O	cheoar	1	NO
PROC050	SEM049	OR+AIN	ANSATZ · PORTION	ANSATZ · PORTION	OR	orain	1	NO
PROC051	SEM050	HO+CH+OR	ZUTAT · ENTNEHMEN · ANSATZ	ZUTAT · ENTNEHMEN · ANSATZ	HO+OR	chochor	1	NO
PROC052	SEM051	HO	ZUTAT	ZUTAT	HO	cho|sho	4	NO
PROC053	SEM052	HO+AL+Y	ZUTAT · ZIELSTELLE · DIES	ZUTAT · ZIELSTELLE · DIES	HO	chodaly	1	NO
PROC056	SEM055	HO+Y	ZUTAT · DIES	ZUTAT · DIES	HO	choy	1	NO
PROC057	SEM056	CH+EE+CKH+O+DY	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	O+CKH	cheeckhody	1	NO
PROC061	SEM060	OK+CH+E+O	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG	O	chokcheo	1	NO
PROC063	SEM062	K+HO+AR	ZUGEBEN · ZUTAT · QUELLE	ZUGEBEN · ZUTAT · QUELLE	HO	kchoar	1	NO
PROC064	SEM063	OT+O+AIN	DANACH · ARBEITSGANG · PORTION	DANACH · ARBEITSGANG · PORTION	O	sotodan	1	NO
PROC068	SEM066	K+AIR	ZUGEBEN · WASSER	ZUGEBEN · WASSER	AIR	kair	1	NO
PROC073	SEM071	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	CKH	sheckhal	1	NO
PROC075	SEM073	CKH+Y	DURCHLASS · DIES	DURCHLASS · DIES	CKH	chckhy|shckhy	4	NO
PROC084	SEM082	LSH+O	WASCHEN · ARBEITSGANG	WASCHEN · ARBEITSGANG	O	lsho	1	NO
PROC087	SEM085	SOLK+Y	AUFFANGEN · DIES	SAMMELSTELLE · DIES	SOLK	qolky	1	YES
PROC097	SEM093	O+IIN	ARBEITSGANG · ARBEITSSTUFE	ARBEITSGANG · ARBEITSSTUFE	O	oiiin|soiiin	2	NO
PROC098	SEM094	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	SAMMELSTELLE · LANG · SCHLUSS	SOLK	olkeedy|solkeedy	3	YES
PROC099	SEM095	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	HALTEN · DURCHLASS · KURZ · SCHLUSS	CKH	shckhedy	3	NO
PROC101	SEM097	L+CKH+Y	WEITERLEITEN · DURCHLASS · DIES	WEITERLEITEN · DURCHLASS · DIES	CKH	lcheckhy	1	NO
PROC103	SEM099	L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	CKH	lcheckhedy	1	NO
PROC105	SEM101	SOLK+AIIN	AUFFANGEN · SOLLMASS	SAMMELSTELLE · SOLLMASS	SOLK	solkaiin	1	YES
PROC106	SEM102	O+CTH+E+OL	ARBEITSGANG · BEREITEN · KURZ · WEITER	ARBEITSGANG · BEREITEN · KURZ · WEITER	O	octheol	1	NO
PROC110	SEM105	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	HALTEN · KURZ · DURCHLASS · DIES	CKH	sheckhy	1	NO
PROC130	SEM124	L+O+CHD+DY	WEITERLEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	WEITERLEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	O	lochedy	1	NO
PROC138	SEM131	OK+AIR	ANSETZEN · WASSER	ANSETZEN · WASSER	AIR	okair	1	NO
PROC140	SEM133	L+O	WEITERLEITEN · ARBEITSGANG	WEITERLEITEN · ARBEITSGANG	O	lo	1	NO
PROC148	SEM141	AL+R+OR	ZIELSTELLE · KUEHLEN · ANSATZ	ZIELSTELLE · KUEHLEN · ANSATZ	OR	chealror	1	NO
PROC150	SEM143	CHD+AIR	UMSETZEN · WASSER	UMSETZEN · WASSER	AIR	schedair	1	NO
PROC161	SEM152	O+CKH+E+Y	ARBEITSGANG · DURCHLASS · KURZ · DIES	ARBEITSGANG · DURCHLASS · KURZ · DIES	O+CKH	qockhey	1	NO
PROC162	SEM153	AIR+Y+DY	WASSER · DIES · SCHLUSS	WASSER · DIES · SCHLUSS	AIR	dairydy	1	NO
PROC163	SEM154	CH+CKH+AL	ENTNEHMEN · DURCHLASS · ZIELSTELLE	ENTNEHMEN · DURCHLASS · ZIELSTELLE	CKH	chckhal	1	NO
PROC164	SEM155	SOLK+E+Y	AUFFANGEN · KURZ · DIES	SAMMELSTELLE · KURZ · DIES	SOLK	solkey	1	YES
PROC170	SEM160	SOLK+EE+Y	AUFFANGEN · LANG · DIES	SAMMELSTELLE · LANG · DIES	SOLK	solkeey	1	YES
PROC173	SEM163	L+AL+OR	WEITERLEITEN · ZIELSTELLE · ANSATZ	WEITERLEITEN · ZIELSTELLE · ANSATZ	OR	ldalor	1	NO
