event_id	page	record	statement_id	owner_de	card_no	surface	component_recipe	inventory_roots	pass734_reading_de	inventory_role
E002	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC002	cthoor	CTH+O+OR	OR+O	BEREITEN · ARBEITSGANG · ANSATZ	ANSATZ+ARBEITSGANG
E006	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC006	chair	CH+AIR	AIR	ENTNEHMEN · WASSER	WASSER
E015	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC015	ycheor	Y+CH+E+OR	OR	DIES · ENTNEHMEN · KURZ · ANSATZ	ANSATZ
E017	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC016	chor	OR	OR	ANSATZ	ANSATZ
E019	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC018	qoctholy	O+CTH+OL+Y	O	ARBEITSGANG · BEREITEN · WEITER · DIES	ARBEITSGANG
E024	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC020	qotchor	OT+CH+OR	OR	DANACH · ENTNEHMEN · ANSATZ	ANSATZ
E025	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC016	chor	OR	OR	ANSATZ	ANSATZ
E028	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC022	cholor	OL+OR	OR	WEITER · ANSATZ	ANSATZ
E032	f10r	H2	H2-S003	abgebildete breit gezähnte radialblütige Pflanze	PROC023	oykchor	O+Y+K+OR	OR+O	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	ANSATZ+ARBEITSGANG
E033	f10r	H2	H2-S003	abgebildete breit gezähnte radialblütige Pflanze	PROC016	shor	OR	OR	ANSATZ	ANSATZ
E034	f10r	H2	H2-S003	abgebildete breit gezähnte radialblütige Pflanze	PROC016	chor	OR	OR	ANSATZ	ANSATZ
E038	f10r	H2	H2-S003	abgebildete breit gezähnte radialblütige Pflanze	PROC025	chodaiin	CH+O+AIIN	O	ENTNEHMEN · ARBEITSGANG · SOLLMASS	ARBEITSGANG
E040	f11r	H3	H3-S001	abgebildete dicht blau blühende Kronenpflanze	PROC027	schoal	SH+O+AL	O	HALTEN · ARBEITSGANG · ZIELSTELLE	ARBEITSGANG
E045	f11r	H3	H3-S001	abgebildete dicht blau blühende Kronenpflanze	PROC032	tchody	T+CH+O+DY	O	ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	ARBEITSGANG
E046	f11r	H3	H3-S002	abgebildete dicht blau blühende Kronenpflanze	PROC033	shoyty	SH+O+Y+T+Y	O	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	ARBEITSGANG
E060	f55v	H4	H4-S001	abgebildete breitblättrige rispige Pflanze	PROC041	ody	O+DY	O	ARBEITSGANG · SCHLUSS	ARBEITSGANG
E065	f55v	H4	H4-S003	abgebildete breitblättrige rispige Pflanze	PROC045	cheoar	CH+E+O+AR	O	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	ARBEITSGANG
E071	f55v	H4	H4-S004	abgebildete breitblättrige rispige Pflanze	PROC016	or	OR	OR	ANSATZ	ANSATZ
E073	f55v	H4	H4-S004	abgebildete breitblättrige rispige Pflanze	PROC050	orain	OR+AIN	OR	ANSATZ · PORTION	ANSATZ
E074	f56r	H5	H5-S001	abgebildete mehrköpfige stachelige Pflanze	PROC051	chochor	HO+CH+OR	HO+OR	ZUTAT · ENTNEHMEN · ANSATZ	ZUTAT+ANSATZ
E075	f56r	H5	H5-S001	abgebildete mehrköpfige stachelige Pflanze	PROC052	cho	HO	HO	ZUTAT	ZUTAT
E076	f56r	H5	H5-S001	abgebildete mehrköpfige stachelige Pflanze	PROC053	chodaly	HO+AL+Y	HO	ZUTAT · ZIELSTELLE · DIES	ZUTAT
E078	f56r	H5	H5-S001	abgebildete mehrköpfige stachelige Pflanze	PROC052	sho	HO	HO	ZUTAT	ZUTAT
E080	f56r	H5	H5-S001	abgebildete mehrköpfige stachelige Pflanze	PROC020	otchor	OT+CH+OR	OR	DANACH · ENTNEHMEN · ANSATZ	ANSATZ
E084	f56r	H5	H5-S002	abgebildete mehrköpfige stachelige Pflanze	PROC056	choy	HO+Y	HO	ZUTAT · DIES	ZUTAT
E086	f56r	H5	H5-S002	abgebildete mehrköpfige stachelige Pflanze	PROC057	cheeckhody	CH+EE+CKH+O+DY	O+CKH	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	ARBEITSGANG+DURCHLASS
E088	f56r	H5	H5-S003	abgebildete mehrköpfige stachelige Pflanze	PROC052	cho	HO	HO	ZUTAT	ZUTAT
E092	f56r	H5	H5-S004	abgebildete mehrköpfige stachelige Pflanze	PROC061	chokcheo	OK+CH+E+O	O	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG	ARBEITSGANG
E094	f56r	H5	H5-S005	abgebildete mehrköpfige stachelige Pflanze	PROC052	sho	HO	HO	ZUTAT	ZUTAT
E096	f56r	H5	H5-S005	abgebildete mehrköpfige stachelige Pflanze	PROC063	kchoar	K+HO+AR	HO	ZUGEBEN · ZUTAT · QUELLE	ZUTAT
E097	f56r	H5	H5-S005	abgebildete mehrköpfige stachelige Pflanze	PROC064	sotodan	OT+O+AIN	O	DANACH · ARBEITSGANG · PORTION	ARBEITSGANG
E103	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	PROC068	kair	K+AIR	AIR	ZUGEBEN · WASSER	WASSER
E113	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	PROC022	olor	OL+OR	OR	WEITER · ANSATZ	ANSATZ
E115	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	PROC073	sheckhal	SH+E+CKH+AL	CKH	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	DURCHLASS
E119	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	PROC075	chckhy	CKH+Y	CKH	DURCHLASS · DIES	DURCHLASS
E128	f81v	B1	B1-S006	gemeinsame zweireihige Figuren-/Beckenstation	PROC075	shckhy	CKH+Y	CKH	DURCHLASS · DIES	DURCHLASS
E139	f81v	B1	B1-S011	gemeinsame zweireihige Figuren-/Beckenstation	PROC075	chckhy	CKH+Y	CKH	DURCHLASS · DIES	DURCHLASS
E141	f81v	B1	B1-S012	gemeinsame zweireihige Figuren-/Beckenstation	PROC084	lsho	LSH+O	O	WASCHEN · ARBEITSGANG	ARBEITSGANG
E146	f81v	B1	B1-S014	gemeinsame zweireihige Figuren-/Beckenstation	PROC087	qolky	SOLK+Y	SOLK	SAMMELSTELLE · DIES	SAMMELSTELLE
E161	f81v	B1	B1-S018	gemeinsame zweireihige Figuren-/Beckenstation	PROC097	oiiin	O+IIN	O	ARBEITSGANG · ARBEITSSTUFE	ARBEITSGANG
E162	f81v	B1	B1-S018	gemeinsame zweireihige Figuren-/Beckenstation	PROC098	olkeedy	SOLK+EE+DY	SOLK	SAMMELSTELLE · LANG · SCHLUSS	SAMMELSTELLE
E165	f81v	B1	B1-S020	gemeinsame zweireihige Figuren-/Beckenstation	PROC099	shckhedy	SH+CKH+E+DY	CKH	HALTEN · DURCHLASS · KURZ · SCHLUSS	DURCHLASS
E173	f82r	B2	B2-S004	oberes Beckenpaar mit Zylinder	PROC101	lcheckhy	L+CKH+Y	CKH	WEITERLEITEN · DURCHLASS · DIES	DURCHLASS
E176	f82r	B2	B2-S004	oberes Beckenpaar mit Zylinder	PROC103	lcheckhedy	L+CKH+E+DY	CKH	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	DURCHLASS
E178	f82r	B2	B2-S005	oberes Beckenpaar mit Zylinder	PROC105	solkaiin	SOLK+AIIN	SOLK	SAMMELSTELLE · SOLLMASS	SAMMELSTELLE
E179	f82r	B2	B2-S005	oberes Beckenpaar mit Zylinder	PROC075	chckhy	CKH+Y	CKH	DURCHLASS · DIES	DURCHLASS
E182	f82r	B2	B2-S005	oberes Beckenpaar mit Zylinder	PROC106	octheol	O+CTH+E+OL	O	ARBEITSGANG · BEREITEN · KURZ · WEITER	ARBEITSGANG
E187	f82r	B2	B2-S006	oberes Beckenpaar mit Zylinder	PROC110	sheckhy	SH+E+CKH+Y	CKH	HALTEN · KURZ · DURCHLASS · DIES	DURCHLASS
E228	f82r	B2	B2-S022	kleine Randstationen des unteren Beckens	PROC130	lochedy	L+O+CHD+DY	O	WEITERLEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	ARBEITSGANG
E229	f83r	B3	B3-S001	obere offene Fächerstation am Rand	PROC098	olkeedy	SOLK+EE+DY	SOLK	SAMMELSTELLE · LANG · SCHLUSS	SAMMELSTELLE
E254	f83r	B3	B3-S012	untere Randfigur im korbartigen Gefäß	PROC016	sor	OR	OR	ANSATZ	ANSATZ
E260	f83r	B3	B3-S014	untere Randfigur im korbartigen Gefäß	PROC138	okair	OK+AIR	AIR	ANSETZEN · WASSER	WASSER
E263	f83r	B3	B3-S016	untere Randfigur im korbartigen Gefäß	PROC140	lo	L+O	O	WEITERLEITEN · ARBEITSGANG	ARBEITSGANG
E290	f83r	B3	B3-S026	unverbundener Zwischenbereich	PROC148	chealror	AL+R+OR	OR	ZIELSTELLE · KUEHLEN · ANSATZ	ANSATZ
