exact_card_id	semantic_family	component_recipe	pass733_reading_de	pass734_reading_de	inventory_roots	registered_surfaces	events	inventory_revision
PROC001	SEM001	CH+E+Y	ENTNEHMEN · KURZ · DIES	ENTNEHMEN · KURZ · DIES	NONE	dchey	1	NO
PROC002	SEM002	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	BEREITEN · ARBEITSGANG · ANSATZ	OR+O	cthoor	1	NO
PROC003	SEM003	AR	QUELLE	QUELLE	NONE	char|dar|sar	5	NO
PROC004	SEM004	T+Y	ANWENDEN · DIES	ANWENDEN · DIES	NONE	chety|chty	2	NO
PROC005	SEM005	OS	FACH	FACH	NONE	os	1	NO
PROC006	SEM006	CH+AIR	ENTNEHMEN · WASSER	ENTNEHMEN · WASSER	AIR	chair	1	NO
PROC007	SEM007	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	NONE	otytchol	1	NO
PROC008	SEM008	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	NONE	choky|oky|qoky	10	NO
PROC011	SEM008	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	NONE	chokchy|okchy|qokchy	3	NO
PROC009	SEM009	AIIN	SOLLMASS	SOLLMASS	NONE	aiin|chaiin|daiin|saiin|taiin	20	NO
PROC010	SEM010	E+T+Y	KURZ · ANWENDEN · DIES	KURZ · ANWENDEN · DIES	NONE	etyd	1	NO
PROC012	SEM011	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	DANACH · ENTNEHMEN · WEITER	NONE	qotchol	1	NO
PROC013	SEM012	OL	WEITER	WEITER	NONE	cheol|chol|ol|qol|sol|tol	19	NO
PROC115	SEM012	OL	WEITER	WEITER	NONE	ls	1	NO
PROC014	SEM013	CTH+Y	BEREITEN · DIES	BEREITEN · DIES	NONE	checthy|cthy|shcthy	7	NO
PROC015	SEM014	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	DIES · ENTNEHMEN · KURZ · ANSATZ	OR	ycheor	1	NO
PROC016	SEM015	OR	ANSATZ	ANSATZ	OR	chor|or|shor|sor	7	NO
PROC017	SEM016	CTH+AIIN	BEREITEN · SOLLMASS	BEREITEN · SOLLMASS	NONE	cthaiin	1	NO
PROC018	SEM017	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · WEITER · DIES	ARBEITSGANG · BEREITEN · WEITER · DIES	O	qoctholy	1	NO
PROC019	SEM018	Y	DIES	DIES	NONE	chey|chy|dy|shy|sy|y	18	NO
PROC020	SEM019	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	DANACH · ENTNEHMEN · ANSATZ	OR	otchor|qotchor	2	NO
PROC021	SEM020	OT+OL	DANACH · WEITER	DANACH · WEITER	NONE	otol	1	NO
PROC022	SEM021	OL+OR	WEITER · ANSATZ	WEITER · ANSATZ	OR	cholor|olor	2	NO
PROC023	SEM022	O+Y+K+OR	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	OR+O	oykchor	1	NO
PROC024	SEM023	K+IIN	ZUGEBEN · ARBEITSSTUFE	ZUGEBEN · ARBEITSSTUFE	NONE	kaiiin	1	NO
