locus_row	diagram_id	page	locus	local_namespace	visible_owners	groups	group_serials	transferred_groups	residual_groups	components	operation_components	instruction_class	controlled_reading_de	orientation	cross_instrument_join
1	A1	f67r2	f67r2.1	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_01	3	1|2|3	1	2	Y+K+Y	K	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: dies + zufuehren + dies; «s»[lokaler Name]; «aram»[lokaler Name].	UNSPECIFIED	NONE
2	A1	f67r2	f67r2.2	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_02	3	4|5|6	2	1	Y+K+E+HO+O+LS	K+LS	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: dies + zufuehren + kurz + Zutat; Arbeitsgang + abfuehren; «eesydy»[mehrdeutig].	UNSPECIFIED	NONE
3	A1	f67r2	f67r2.3	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_03	3	7|8|9	2	1	E+Y+OK+AR	OK	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: kurz + dies; «shs»[lokaler Name]; ansetzen + von dort.	UNSPECIFIED	NONE
4	A1	f67r2	f67r2.4	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_04	2	10|11	1	1	SH+E+K+Y	SH+K	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: halten + kurz + zufuehren + dies; «sykos»[lokaler Name].	UNSPECIFIED	NONE
5	A1	f67r2	f67r2.5	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_05	2	12|13	1	1	OK+Y	OK	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: «ykeody»[mehrdeutig]; dies ansetzen.	UNSPECIFIED	NONE
6	A1	f67r2	f67r2.6	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_06	1	14	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «dchetay» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
7	A1	f67r2	f67r2.7	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_07	3	15|16|17	2	1	Y+K+Y+K+E+Y	K+K	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: dies + zufuehren + dies; dies kurz zuführen; «ykchys»[lokaler Name].	UNSPECIFIED	NONE
8	A1	f67r2	f67r2.8	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_08	1	18	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «chkchdar» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
9	A1	f67r2	f67r2.9	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_09	2	19|20	2	0	Y+K+AR+Y+K+AL+Y	K+K	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: dies + zufuehren + von dort; dies + zufuehren + Stelle + dies.	UNSPECIFIED	NONE
10	A1	f67r2	f67r2.10	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_10	3	21|22|23	3	0	L+K+Y+K+Y+OK+AR	L+K+K+OK	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: fuehren + zufuehren + dies; dies zuführen; ansetzen + von dort.	UNSPECIFIED	NONE
11	A1	f67r2	f67r2.11	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_11	3	24|25|26	2	1	CHK+Y+Y	CHK	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: waermen + dies; «chykchs»[lokaler Name]; dies.	UNSPECIFIED	NONE
12	A1	f67r2	f67r2.12	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_12	2	27|28	0	2	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «ykees ykchos» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
13	A1	f67r2	f67r2.13	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_RING_BAND_01	4	29|30|31|32	2	2	O+P+O+OL+AIN	P	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: Arbeitsgang + hinein + Arbeitsgang + fortsetzen; «s»[lokaler Name]; Portion; «aldy»[mehrdeutig].	UNSPECIFIED	NONE
14	A1	f67r2	f67r2.14	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_RING_BAND_02	3	33|34|35	1	2	OL+DY	DY	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: «soeey»[lokaler Name]; «doiin»[lokaler Name]; fortsetzen; Schluss.	UNSPECIFIED	NONE
15	A1	f67r2	f67r2.15	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_15	1	36	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «dolchsody» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
16	A1	f67r2	f67r2.16	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_16	4	37|38|39|40	2	2	O+E+K+AIN+Y	K	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: «odaeiin»[lokaler Name]; «okoes»[lokaler Name]; Arbeitsgang + kurz + zufuehren + Portion; dies.	UNSPECIFIED	NONE
17	A1	f67r2	f67r2.17	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_17	3	41|42|43	2	1	OT+Y+Y	NONE	MIXED_LOCAL_NAME_AND_PARAMETER	Am sichtbaren Besitzer: nächster Posten; «soraiir»[lokaler Name]; dies.	UNSPECIFIED	NONE
