order_id	biological_record	owner_state	owner_de	first_mark_id	first_source_id	first_unit	entry_kind	previous_owner_de
WH01	B1	B1-O01	gemeinsame zweireihige Figuren-/Beckenstation	WH01-M015	E101	B1-S001	START_AT_VISIBLE_OWNER	NONE
WH02	B2	B2-O01	oberes Beckenpaar mit Zylinder	WH02-M014	E167	B2-S001	START_AT_VISIBLE_OWNER	NONE
WH02	B2	B2-O02	mittleres linkes Handgerät mit Inline-Knoten	WH02-M036	E189	B2-S007	SWITCH_AT_THIS_UNIT	oberes Beckenpaar mit Zylinder
WH02	B2	B2-O03	mittlere rechte unklare Station	WH02-M045	E198	B2-S011	SWITCH_AT_THIS_UNIT	mittleres linkes Handgerät mit Inline-Knoten
WH02	B2	B2-O04	unteres grünes Mehrfigurenbecken	WH02-M050	E203	B2-S012	SWITCH_AT_THIS_UNIT	mittlere rechte unklare Station
WH02	B2	B2-O05	kleine Randstationen des unteren Beckens	WH02-M059	E212	B2-S015	SWITCH_AT_THIS_UNIT	unteres grünes Mehrfigurenbecken
WH03	B3	B3-O01	obere offene Fächerstation am Rand	WH03-M009	E229	B3-S001	START_AT_VISIBLE_OWNER	NONE
WH03	B3	B3-O02	mittlere Randfigur im runden Gefäß	WH03-M019	E239	B3-S005	SWITCH_AT_THIS_UNIT	obere offene Fächerstation am Rand
WH03	B3	B3-O03	untere Randfigur im korbartigen Gefäß	WH03-M028	E248	B3-S010	SWITCH_AT_THIS_UNIT	mittlere Randfigur im runden Gefäß
WH03	B3	B3-O04	unverbundener Zwischenbereich	WH03-M044	E264	B3-S016	SWITCH_AT_THIS_UNIT	untere Randfigur im korbartigen Gefäß
WH03	B3	B3-O05	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	WH03-M071	E291	B3-S026	SWITCH_AT_THIS_UNIT	unverbundener Zwischenbereich
WH04	B4	B4-O01	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	WH04-M019	E315	B4-S001	START_AT_VISIBLE_OWNER	NONE
WH04	B4	B4-O02	linke Hauptstation mit offenem Fransenlauf	WH04-M042	E338	B4-S011	SWITCH_AT_THIS_UNIT	sichtbares Figurenpaar mit gemeinsamem Bogen in B4
WH04	B4	B4-O03	rechte Hauptstation mit S-Lauf und Mehrarmknoten	WH04-M060	E356	B4-S015	SWITCH_AT_THIS_UNIT	linke Hauptstation mit offenem Fransenlauf
WH05	B5	B5-O01	linke Fransenstation im B5-Nachtrag	WH05-M014	E362	B5-S001	START_AT_VISIBLE_OWNER	NONE
WH06	B6	B6-O01	rechter S-Lauf im B6-Nachtrag	WH06-M019	E373	B6-S001	START_AT_VISIBLE_OWNER	NONE
