component	short_value_de	portable_core_cards	portable_core_marks	example_surfaces	lesson
AIIN	EIN KLEINER SCHOEPFBECHER	4	35	daiin,okaiin,ykaiin,sotaiin	LEARN_AS_REUSABLE_COMPONENT
AIN	EIN ABGEGRENZTER TEIL	6	18	ykain,orain,kain,olkain,qokain	LEARN_AS_REUSABLE_COMPONENT
AL	ZIELSTELLE	5	25	okal,chodaly,al,qotal,shedal	LEARN_AS_REUSABLE_COMPONENT
AN	NACHGABE	1	2	ykan	LEARN_AS_REUSABLE_COMPONENT
AR	QUELLE	2	6	char,cheoar	LEARN_AS_REUSABLE_COMPONENT
CH	ENTNEHMEN	4	8	otchor,cheoar,chochor,cheeckhody	LEARN_AS_REUSABLE_COMPONENT
CHD	UMSETZEN	6	32	chedy,schedy,qolchedy,qokchdy,okchedy	LEARN_AS_REUSABLE_COMPONENT
CHK	WAERMEN	2	6	cheeky,cheky	LEARN_AS_REUSABLE_COMPONENT
CKH	DURCHLASS	3	9	cheeckhody,chckhy,shckhedy	LEARN_AS_REUSABLE_COMPONENT
CTH	BEREITEN	2	7	cthy,qcthey	LEARN_AS_REUSABLE_COMPONENT
DY	SCHLUSS	15	67	ody,oldy,cheeckhody,qokedy,schedy	LEARN_AS_REUSABLE_COMPONENT
E	EIN KURZER ARBEITSGANG	6	20	cheoar,qokedy,cheky,qokey,shckhedy	LEARN_AS_REUSABLE_COMPONENT
EE	DREI KURZE ARBEITSGAENGE	7	31	cheey,cheeky,cheeckhody,okeey,olkeedy	LEARN_AS_REUSABLE_COMPONENT
HO	ZUTAT	4	10	chochor,cho,chodaly,choy	LEARN_AS_REUSABLE_COMPONENT
IIN	EINE EINGESTELLTE ARBEITSSTUFE	1	2	oiiin	LEARN_AS_REUSABLE_COMPONENT
K	ZUGEBEN	6	13	ykain,ykan,ykaiin,kchol,kain	LEARN_AS_REUSABLE_COMPONENT
L	LEITEN	2	10	ldy,lchedy	LEARN_AS_REUSABLE_COMPONENT
O	ARBEITSGANG	4	8	ody,cheoar,cheeckhody,oiiin	LEARN_AS_REUSABLE_COMPONENT
OK	ANSETZEN	10	68	oky,okaiin,okal,qokedy,qokain	LEARN_AS_REUSABLE_COMPONENT
OL	WEITER	6	29	chol,oldy,oltchy,kchol,olkain	LEARN_AS_REUSABLE_COMPONENT
OR	ANSATZ	4	10	sor,otchor,orain,chochor	LEARN_AS_REUSABLE_COMPONENT
OT	DANACH	4	10	otchor,sotaiin,qoteedy,qotal	LEARN_AS_REUSABLE_COMPONENT
RESUME_CARD	DAVON	1	2	schol	LEARN_AS_REUSABLE_COMPONENT
SH	HALTEN	2	7	cheey,shckhedy	LEARN_AS_REUSABLE_COMPONENT
SHED	STEHENLASSEN	2	14	shedy,shedal	LEARN_AS_REUSABLE_COMPONENT
SOLK	SAMMELN	1	3	olkeedy	LEARN_AS_REUSABLE_COMPONENT
T	BEARBEITEN	2	4	chty,oltchy	LEARN_AS_REUSABLE_COMPONENT
TALAM	BEISEITESTELLEN	1	2	talam	LEARN_AS_REUSABLE_COMPONENT
Y	POSTEN	18	79	chty,oky,cthy,chey,cheey	LEARN_AS_REUSABLE_COMPONENT
