identity	representative_surface	component_recipe	concrete_default_de	visible_marks	orders	order_count	pages	stage_classes	teaching_action
A1:G001	ykshy	Y+K+Y	DIESER_EINTRAG · DIESER_EINTRAG · BEDINGUNGSTEIL 1 VON C1@f67r2.1	1	WH06	1	f67r2	COND	COPY_FROM_LOCAL_MODEL_LEAF
A1:G002	s	S_LABEL	BEDINGUNGSTEIL 2 VON C1@f67r2.1 KOPIEREN	1	WH06	1	f67r2	COND	COPY_FROM_LOCAL_MODEL_LEAF
A1:G003	aram	AR+AM_ADDR	VON · BEDINGUNGSTEIL 3 VON C1@f67r2.1	1	WH06	1	f67r2	COND	COPY_FROM_LOCAL_MODEL_LEAF
A1:G036	dolchsody	D_ADDR+OL+CH+S_ADDR+O+DY	VON DER TEILADRESSE WEITER ZUM STERNBEZUG; DEN LOKALEN ARBEITSGANG SCHLIESSEN	1	WH03	1	f67r2	COND	COPY_FROM_LOCAL_MODEL_LEAF
A2:G033	odchecthy	O+D_ADDR+CH+E+CTH+Y	KURZ · DIESER_EINTRAG · BEDINGUNGSTEIL 1 VON C3@f68r1.9	1	WH05	1	f68r1	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G041	yka	Y+K+A_ADDR	DIESER_EINTRAG · BEDINGUNGSTEIL 1 VON C5@f69v.2	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G042	chol	OL	WEITER	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G043	ykar	Y+K+AR	DIESER_EINTRAG · VON · BEDINGUNGSTEIL 3 VON C5@f69v.2	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G044	dal	AL	AN	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
A3:G045	ykady	Y+K+A_ADDR+Y	DIESER_EINTRAG · DIESER_EINTRAG · BEDINGUNGSTEIL 5 VON C5@f69v.2	1	WH01	1	f69v	COND	COPY_FROM_LOCAL_MODEL_LEAF
