identity	representative_surface	component_recipe	concrete_default_de	visible_marks	orders	order_count	pages	stage_classes	teaching_action
PROC003	char	AR	QUELLE	4	WH01,WH02,WH03	3	f10r,f81v,f82r,f83r	APP,PREP	MEMORIZE_PORTABLE_CORE
PROC004	chty	T+Y	BEARBEITEN · POSTEN	2	WH01,WH03	2	f10r,f83r	APP,PREP	MEMORIZE_PORTABLE_CORE
PROC008	oky	OK+Y	ANSETZEN · POSTEN	12	WH01,WH02,WH03,WH04,WH05	5	f10r,f56r,f81v,f82r,f83r	APP,PREP	MEMORIZE_PORTABLE_CORE
PROC009	daiin	AIIN	EIN KLEINER SCHOEPFBECHER	20	WH01,WH02,WH03,WH04,WH05,WH06	6	f10r,f55v,f56r,f81v,f82r,f83r	APP,PREP	MEMORIZE_PORTABLE_CORE
PROC013	chol	OL	WEITER	17	WH01,WH03,WH04,WH05,WH06	5	f10r,f81v,f83r	APP,PREP	MEMORIZE_PORTABLE_CORE
PROC014	cthy	CTH+Y	BEREITEN · POSTEN	5	WH01,WH03	2	f10r,f83r	APP,PREP	MEMORIZE_PORTABLE_CORE
PROC016	sor	OR	ANSATZ	4	WH03,WH04,WH06	3	f55v,f83r	APP,PREP	MEMORIZE_PORTABLE_CORE
PROC019	chey	Y	POSTEN	11	WH01,WH02,WH03,WH04,WH06	5	f55v,f81v,f82r,f83r	APP,PREP	MEMORIZE_PORTABLE_CORE
PROC020	otchor	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	2	WH02,WH05	2	f56r	PREP	MEMORIZE_PORTABLE_CORE
PROC031	cheey	SH+EE+Y	HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN	4	WH02,WH03,WH04	3	f11r,f82r,f83r	APP,PREP	MEMORIZE_PORTABLE_CORE
PROC034	schol	RESUME_CARD	DAVON	2	WH02,WH05	2	f56r	PREP	MEMORIZE_PORTABLE_CORE
PROC038	okaiin	OK+AIIN	ANSETZEN · EIN KLEINER SCHOEPFBECHER	10	WH01,WH02,WH03,WH04,WH06	5	f55v,f81v,f82r,f83r	APP,PREP	MEMORIZE_PORTABLE_CORE
PROC039	ykain	Y+K+AIN	POSTEN · ZUGEBEN · EIN ABGEGRENZTER TEIL	2	WH04,WH06	2	f55v	PREP	MEMORIZE_PORTABLE_CORE
PROC040	ykan	Y+K+AN	POSTEN · ZUGEBEN · NACHGABE	2	WH04,WH06	2	f55v	PREP	MEMORIZE_PORTABLE_CORE
PROC041	ody	O+DY	ARBEITSGANG · SCHLUSS	2	WH04,WH06	2	f55v	PREP	MEMORIZE_PORTABLE_CORE
PROC042	chedy	CHD+Y	UMSETZEN · POSTEN	12	WH01,WH03,WH04,WH05,WH06	5	f55v,f81v,f83r	APP,PREP	MEMORIZE_PORTABLE_CORE
PROC043	talam	TALAM	BEISEITESTELLEN	2	WH04,WH06	2	f55v	PREP	MEMORIZE_PORTABLE_CORE
PROC044	ykaiin	Y+K+AIIN	POSTEN · ZUGEBEN · EIN KLEINER SCHOEPFBECHER	2	WH04,WH06	2	f55v	PREP	MEMORIZE_PORTABLE_CORE
PROC045	cheoar	CH+E+O+AR	ENTNEHMEN · EIN KURZER ARBEITSGANG · ARBEITSGANG · QUELLE	2	WH04,WH06	2	f55v	PREP	MEMORIZE_PORTABLE_CORE
PROC046	cheeky	CHK+EE+Y	WAERMEN · DREI KURZE ARBEITSGAENGE · POSTEN	3	WH04,WH06	2	f55v,f83r	APP,PREP	MEMORIZE_PORTABLE_CORE
PROC047	oldy	OL+DY	WEITER · SCHLUSS	3	WH04,WH06	2	f55v,f83r	APP,PREP	MEMORIZE_PORTABLE_CORE
PROC048	okal	OK+AL	ANSETZEN · ZIELSTELLE	7	WH01,WH02,WH03,WH04,WH06	5	f55v,f81v,f82r,f83r	APP,PREP	MEMORIZE_PORTABLE_CORE
PROC049	oltchy	OL+T+Y	WEITER · BEARBEITEN · POSTEN	2	WH04,WH06	2	f55v	PREP	MEMORIZE_PORTABLE_CORE
PROC050	orain	OR+AIN	ANSATZ · EIN ABGEGRENZTER TEIL	2	WH04,WH06	2	f55v	PREP	MEMORIZE_PORTABLE_CORE
PROC051	chochor	HO+CH+OR	ZUTAT · ENTNEHMEN · ANSATZ	2	WH02,WH05	2	f56r	PREP	MEMORIZE_PORTABLE_CORE
PROC052	cho	HO	ZUTAT	4	WH02,WH05	2	f56r	PREP	MEMORIZE_PORTABLE_CORE
PROC053	chodaly	HO+AL+Y	ZUTAT · ZIELSTELLE · POSTEN	2	WH02,WH05	2	f56r	PREP	MEMORIZE_PORTABLE_CORE
PROC054	kchol	K+OL	ZUGEBEN · WEITER	2	WH02,WH05	2	f56r	PREP	MEMORIZE_PORTABLE_CORE
PROC055	al	AL	ZIELSTELLE	11	WH01,WH02,WH03,WH04,WH05	5	f56r,f81v,f82r,f83r	APP,PREP	MEMORIZE_PORTABLE_CORE
PROC056	choy	HO+Y	ZUTAT · POSTEN	2	WH02,WH05	2	f56r	PREP	MEMORIZE_PORTABLE_CORE
PROC057	cheeckhody	CH+EE+CKH+O+DY	ENTNEHMEN · DREI KURZE ARBEITSGAENGE · DURCHLASS · ARBEITSGANG · SCHLUSS	2	WH02,WH05	2	f56r	PREP	MEMORIZE_PORTABLE_CORE
PROC067	qokedy	OK+E+DY	ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	8	WH01,WH03,WH04	3	f81v,f83r	APP	MEMORIZE_PORTABLE_CORE
PROC069	kain	K+AIN	ZUGEBEN · EIN ABGEGRENZTER TEIL	3	WH01,WH03,WH04	3	f81v,f83r	APP	MEMORIZE_PORTABLE_CORE
PROC070	olkain	OL+K+AIN	WEITER · ZUGEBEN · EIN ABGEGRENZTER TEIL	2	WH01,WH04	2	f81v,f83r	APP	MEMORIZE_PORTABLE_CORE
PROC075	chckhy	CKH+Y	DURCHLASS · POSTEN	4	WH01,WH02	2	f81v,f82r	APP	MEMORIZE_PORTABLE_CORE
PROC076	schedy	CHD+DY	UMSETZEN · SCHLUSS	4	WH01,WH02,WH03	3	f81v,f82r,f83r	APP	MEMORIZE_PORTABLE_CORE
PROC078	shedy	SHED+DY	STEHENLASSEN · SCHLUSS	12	WH01,WH02,WH03,WH04	4	f81v,f82r,f83r	APP	MEMORIZE_PORTABLE_CORE
PROC079	qolchedy	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	3	WH01,WH02,WH03	3	f81v,f82r,f83r	APP	MEMORIZE_PORTABLE_CORE
PROC080	qokain	OK+AIN	ANSETZEN · EIN ABGEGRENZTER TEIL	7	WH01,WH02,WH03,WH04	4	f81v,f82r,f83r	APP	MEMORIZE_PORTABLE_CORE
PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	3	WH01,WH03,WH05	3	f81v,f83r	APP	MEMORIZE_PORTABLE_CORE
PROC083	cheky	CHK+E+Y	WAERMEN · EIN KURZER ARBEITSGANG · POSTEN	3	WH01,WH04	2	f81v,f83r	APP	MEMORIZE_PORTABLE_CORE
PROC085	qokey	OK+E+Y	ANSETZEN · EIN KURZER ARBEITSGANG · POSTEN	2	WH01,WH02	2	f81v,f82r	APP	MEMORIZE_PORTABLE_CORE
