identity	original_surface	fifth_hand_surface	changed_marks	orders	pages	component_recipe	concrete_default_de	meaning_changed
PROC003	dar	char	1	WH03	f83r	AR	QUELLE	NO
PROC003	sar	char	1	WH01	f81v	AR	QUELLE	NO
PROC004	chty	chety	1	WH01	f10r	T+Y	BEARBEITEN · POSTEN	NO
PROC008	choky	qoky	4	WH02,WH05	f56r	OK+Y	ANSETZEN · POSTEN	NO
PROC008	oky	qoky	1	WH01	f10r	OK+Y	ANSETZEN · POSTEN	NO
PROC009	aiin	daiin	4	WH02,WH04,WH05,WH06	f55v,f82r,f83r	AIIN	EIN KLEINER SCHOEPFBECHER	NO
PROC009	chaiin	daiin	2	WH04,WH06	f55v	AIIN	EIN KLEINER SCHOEPFBECHER	NO
PROC009	saiin	daiin	4	WH03,WH04	f83r	AIIN	EIN KLEINER SCHOEPFBECHER	NO
PROC013	cheol	ol	1	WH05	f83r	OL	WEITER	NO
PROC013	chol	ol	1	WH01	f10r	OL	WEITER	NO
PROC013	qol	ol	3	WH01	f81v	OL	WEITER	NO
PROC013	sol	ol	3	WH03,WH04,WH05	f83r	OL	WEITER	NO
PROC013	tol	ol	1	WH04	f83r	OL	WEITER	NO
PROC014	cthy	checthy	1	WH01	f10r	CTH+Y	BEREITEN · POSTEN	NO
PROC014	shcthy	checthy	2	WH03	f83r	CTH+Y	BEREITEN · POSTEN	NO
PROC016	sor	or	1	WH03	f83r	OR	ANSATZ	NO
PROC019	dy	chey	1	WH02	f82r	Y	POSTEN	NO
PROC019	sy	chey	1	WH03	f83r	Y	POSTEN	NO
PROC019	y	chey	2	WH04,WH06	f55v	Y	POSTEN	NO
PROC031	shey	cheey	2	WH03,WH04	f11r,f83r	SH+EE+Y	HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN	NO
PROC038	okaiin	qokaiin	1	WH01	f81v	OK+AIIN	ANSETZEN · EIN KLEINER SCHOEPFBECHER	NO
PROC042	chdy	chedy	1	WH04	f83r	CHD+Y	UMSETZEN · POSTEN	NO
PROC048	okal	qokal	3	WH01,WH04,WH06	f55v,f81v	OK+AL	ANSETZEN · ZIELSTELLE	NO
PROC052	sho	cho	2	WH02,WH05	f56r	HO	ZUTAT	NO
PROC055	al	dal	1	WH01	f81v	AL	ZIELSTELLE	NO
PROC055	chal	dal	1	WH01	f81v	AL	ZIELSTELLE	NO
PROC055	cheal	dal	1	WH02	f82r	AL	ZIELSTELLE	NO
PROC055	sal	dal	1	WH01	f81v	AL	ZIELSTELLE	NO
PROC055	tal	dal	1	WH03	f83r	AL	ZIELSTELLE	NO
PROC069	chkain	kain	1	WH03	f83r	K+AIN	ZUGEBEN · EIN ABGEGRENZTER TEIL	NO
PROC070	qolkain	olkain	1	WH04	f83r	OL+K+AIN	WEITER · ZUGEBEN · EIN ABGEGRENZTER TEIL	NO
PROC075	shckhy	chckhy	1	WH01	f81v	CKH+Y	DURCHLASS · POSTEN	NO
PROC076	dchedy	schedy	1	WH02	f82r	CHD+DY	UMSETZEN · SCHLUSS	NO
PROC076	tchedy	schedy	1	WH03	f83r	CHD+DY	UMSETZEN · SCHLUSS	NO
PROC078	cheedy	shedy	1	WH01	f81v	SHED+DY	STEHENLASSEN · SCHLUSS	NO
PROC078	tedy	shedy	1	WH01	f81v	SHED+DY	STEHENLASSEN · SCHLUSS	NO
PROC079	olchedy	qolchedy	1	WH03	f83r	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	NO
PROC080	okain	qokain	3	WH02,WH04	f82r,f83r	OK+AIN	ANSETZEN · EIN ABGEGRENZTER TEIL	NO
PROC085	qokey	okey	1	WH01	f81v	OK+E+Y	ANSETZEN · EIN KURZER ARBEITSGANG · POSTEN	NO
PROC091	qokchedy	okchedy	1	WH03	f83r	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	NO
PROC092	okeey	qokeey	1	WH01	f81v	OK+EE+Y	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN	NO
PROC097	soiiin	oiiin	1	WH03	f83r	O+IIN	ARBEITSGANG · EINE EINGESTELLTE ARBEITSSTUFE	NO
PROC098	solkeedy	olkeedy	1	WH03	f83r	SOLK+EE+DY	SAMMELN · DREI KURZE ARBEITSGAENGE · SCHLUSS	NO
PROC112	sotaiin	otaiin	1	WH02	f82r	OT+AIIN	DANACH · EIN KLEINER SCHOEPFBECHER	NO
PROC117	shcthey	qcthey	1	WH03	f83r	CTH+E+Y	BEREITEN · EIN KURZER ARBEITSGANG · POSTEN	NO
PROC131	otal	qotal	1	WH04	f83r	OT+AL	DANACH · ZIELSTELLE	NO
