order_id	stage	unit	page	original_surface_sequence	fifth_hand_surface_sequence	normalized_marks	literal_sequence_de	fluent_workshop_reading_de	meaning_changed
WH01	MAKE_A.G2	H1-S001	f10r	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor char chety os chair otytchol qoky daiin etyd	2	ENTNEHMEN · EIN KURZER ARBEITSGANG · POSTEN; BEREITEN · ARBEITSGANG · ANSATZ; QUELLE; BEARBEITEN · POSTEN; DAZU; ENTNEHMEN · WASSER; DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · WEITER; ANSETZEN · POSTEN; EIN KLEINER SCHOEPFBECHER; EIN KURZER ARBEITSGANG · BEARBEITEN · POSTEN	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.	NO
WH01	MAKE_A.G2	H1-S002	f10r	qokchy qotchol chol cthy	qokchy qotchol ol checthy	2	ANSETZEN · POSTEN; DANACH · ENTNEHMEN · WEITER; WEITER; BEREITEN · POSTEN	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	NO
WH01	APPLY_B1	B1-S001	f81v	qokedy	qokedy	0	ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.	NO
WH01	APPLY_B1	B1-S002	f81v	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	qokaiin kair qokal char ol kain olkain dal ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	4	ANSETZEN · EIN KLEINER SCHOEPFBECHER; ZUGEBEN · WASSER; ANSETZEN · ZIELSTELLE; QUELLE; WEITER; ZUGEBEN · EIN ABGEGRENZTER TEIL; WEITER · ZUGEBEN · EIN ABGEGRENZTER TEIL; ZIELSTELLE; WEITER; KUEHLEN · WEITER; LEITEN; WEITER · ANSATZ; WEITER; HALTEN · EIN KURZER ARBEITSGANG · DURCHLASS · ZIELSTELLE; EIN KLEINER SCHOEPFBECHER; ANSETZEN · DREI KURZE ARBEITSGAENGE · ZIELSTELLE; EIN KLEINER SCHOEPFBECHER; DURCHLASS · POSTEN; UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	NO
WH01	APPLY_B1	B1-S003	f81v	qol sshkchdy	ol sshkchdy	1	WEITER; HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen.	NO
WH01	APPLY_B1	B1-S004	f81v	chedy ol shedy	chedy ol shedy	0	UMSETZEN · POSTEN; WEITER; STEHENLASSEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.	NO
WH01	APPLY_B1	B1-S005	f81v	qolchedy	qolchedy	0	WEITER · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.	NO
WH01	APPLY_B1	B1-S006	f81v	qokain shckhy dl ral	qokain chckhy dl ral	1	ANSETZEN · EIN ABGEGRENZTER TEIL; DURCHLASS · POSTEN; LEITEN; KUEHLEN · ZIELSTELLE	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.	NO
WH01	APPLY_B1	B1-S007	f81v	qokchdy	qokchdy	0	ANSETZEN · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen.	NO
WH01	APPLY_B1	B1-S008	f81v	chey ol cheky ol shedy	chey ol cheky ol shedy	0	POSTEN; WEITER; WAERMEN · EIN KURZER ARBEITSGANG · POSTEN; WEITER; STEHENLASSEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und weiterarbeiten, kurz erwaermen, weiterfuehren, stehen lassen und den Schritt schliessen.	NO
