enriched_recipe	base_family_parse	recipe_modifiers	family_count	canonical_master_card_id	canonical_form	canonical_registered_surfaces	canonical_workshop_value_de	alternate_master_forms	all_workshop_values_de	card_type_count	event_support	canonical_event_hits	writer_rule
AIIN	AIIN	NONE	1	MC039	aiin	aiin|chaiin|daiin|saiin|taiin	Sollmaß	chldaiin|ykaiin	Sollmaß | Sollabsetzung | Sollportion	3	22	20	WRITE_CANONICAL_UNLESS_LOCAL_ALLOGRAPH_IS_MEMORIZED
OL	OL	NONE	1	MC153	cheol	cheol|chol|ol|qol|sol|tol	weiter	rol|qolky	weiter | Anschluss | Weiterweg	3	21	19	WRITE_CANONICAL_UNLESS_LOCAL_ALLOGRAPH_IS_MEMORIZED
Y	Y	NONE	1	MC123	chey	chey|chy|dy|shy|sy|y	dies	NONE	dies	1	18	18	WRITE_CANONICAL
OK+Y	OK+Y	NONE	2	MC026	choky	choky|oky|qoky	einsetzen	chokchy	einsetzen | den laufenden Posten einsetzen und weiterbearbeiten	2	13	10	WRITE_CANONICAL_UNLESS_LOCAL_ALLOGRAPH_IS_MEMORIZED
E_GRADE+DY+SHED[GRADE=E_SHORT]	E_GRADE+DY+SHED	GRADE=E_SHORT	3	MC128	cheedy	cheedy|shedy|tedy	kurz absetzen; Schluss	NONE	kurz absetzen; Schluss	1	12	12	WRITE_CANONICAL
Y+CHED_TRANSFER	Y+CHED_TRANSFER	NONE	2	MC074	chdy	chdy|chedy	überführen	chedchy	überführen | Postentransfer	2	12	11	WRITE_CANONICAL_UNLESS_LOCAL_ALLOGRAPH_IS_MEMORIZED
AL	AL	NONE	1	MC154	al	al|chal|cheal|dal|sal|tal	dorthin	ral	dorthin | Zielmarke	2	11	10	WRITE_CANONICAL_UNLESS_LOCAL_ALLOGRAPH_IS_MEMORIZED
OK+E_GRADE+DY[GRADE=EE_LONG]	OK+E_GRADE+DY	GRADE=EE_LONG	3	MC082	qokeedy	qokeedy	lange einwirken; Schluss	NONE	lange einwirken; Schluss	1	10	10	WRITE_CANONICAL
OK+AIIN	OK+AIIN	NONE	2	MC120	okaiin	okaiin|qokaiin	bemessen	NONE	bemessen	1	9	9	WRITE_CANONICAL
L+CHED_TRANSFER[LICENSED_CLOSE=YES]	L+CHED_TRANSFER	LICENSED_CLOSE=YES	2	MC155	lchedy	lchedy	abführen; Schluss	NONE	abführen; Schluss	1	8	8	WRITE_CANONICAL
OK+E_GRADE+DY[GRADE=E_SHORT]	OK+E_GRADE+DY	GRADE=E_SHORT	3	MC083	qokedy	qokedy	kurz einwirken; Schluss	NONE	kurz einwirken; Schluss	1	8	8	WRITE_CANONICAL
OK+AIN	OK+AIN	NONE	2	MC017	okain	okain|qokain	Anteil zugeben	NONE	Anteil zugeben	1	7	7	WRITE_CANONICAL
OK+E_GRADE+Y[GRADE=EE_LONG]	OK+E_GRADE+Y	GRADE=EE_LONG	3	MC002	okeey	okeey|qokeey	LAENGER_SETZEN_ODER_HALTEN	NONE	LAENGER_SETZEN_ODER_HALTEN	1	7	7	WRITE_CANONICAL
OR	OR	NONE	1	MC080	chor	chor|or|shor|sor	Ansatz	NONE	Ansatz	1	7	7	WRITE_CANONICAL
Y+CTH	Y+CTH	NONE	2	MC161	checthy	checthy|cthy|shcthy	bereit	NONE	bereit	1	7	7	WRITE_CANONICAL
AR	AR	NONE	1	MC055	char	char|dar|sar	davon	skar	davon | Quellausguss	2	6	5	WRITE_CANONICAL_UNLESS_LOCAL_ALLOGRAPH_IS_MEMORIZED
OK+AL	OK+AL	NONE	2	MC040	okal	okal|qokal	dorthin einsetzen	NONE	dorthin einsetzen	1	6	6	WRITE_CANONICAL
AIN	AIN	NONE	1	MC105	chkain	chkain|kain	Portion	ykain|orain	Portion | erste Portion | Bereitungsanteil	3	5	3	WRITE_CANONICAL_UNLESS_LOCAL_ALLOGRAPH_IS_MEMORIZED
OK+DY+CHED_TRANSFER	OK+DY+CHED_TRANSFER	NONE	3	MC088	qokchdy	qokchdy	neuen Posten einsetzen; Schluss	okchedy	neuen Posten einsetzen; Schluss | vorigen Posten überführen; Schluss	2	5	3	WRITE_CANONICAL_UNLESS_LOCAL_ALLOGRAPH_IS_MEMORIZED
CHED_TRANSFER[LICENSED_CLOSE=YES]	CHED_TRANSFER	LICENSED_CLOSE=YES	1	MC025	dchedy	dchedy|schedy|tchedy	überführen; Schluss	NONE	überführen; Schluss	1	4	4	WRITE_CANONICAL
CHO_INPUT	CHO_INPUT	NONE	1	MC034	cho	cho|sho	EINGABE_ODER_BEDINGUNG	NONE	EINGABE_ODER_BEDINGUNG	1	4	4	WRITE_CANONICAL
K_BINDER	K_BINDER	NONE	1	MC077	kchal	kchal	an der Zielstelle bearbeiten	kchol|keol|kchoar	an der Zielstelle bearbeiten | weiter bearbeiten | kurz weiterbearbeiten | bearbeiteter Quellauszug	4	4	1	WRITE_CANONICAL_UNLESS_LOCAL_ALLOGRAPH_IS_MEMORIZED
Y+CKH	Y+CKH	NONE	2	MC035	chckhy	chckhy|shckhy	durchleiten	NONE	durchleiten	1	4	4	WRITE_CANONICAL
CKHE[LICENSED_CLOSE=YES]	CKHE	LICENSED_CLOSE=YES	1	MC143	shckhedy	shckhedy	durchlassen; Schluss	NONE	durchlassen; Schluss	1	3	3	WRITE_CANONICAL
E_GRADE+SOLK[LICENSED_CLOSE=YES]	E_GRADE+SOLK	LICENSED_CLOSE=YES	2	MC045	olkeedy	olkeedy|solkeedy	lange sammeln; Schluss	NONE	lange sammeln; Schluss	1	3	3	WRITE_CANONICAL
E_GRADE+Y+CHK[GRADE=EE_LONG]	E_GRADE+Y+CHK	GRADE=EE_LONG	3	MC032	cheeky	cheeky	länger bearbeiten	chkeey	länger bearbeiten | Langwärmen	2	3	2	WRITE_CANONICAL_UNLESS_LOCAL_ALLOGRAPH_IS_MEMORIZED
E_GRADE+Y+CHK[GRADE=E_SHORT]	E_GRADE+Y+CHK	GRADE=E_SHORT	3	MC147	cheky	cheky	kurz wärmen	NONE	kurz wärmen	1	3	3	WRITE_CANONICAL
E_GRADE+Y+CTH[GRADE=E_SHORT]	E_GRADE+Y+CTH	GRADE=E_SHORT	3	MC073	qcthey	qcthey|shcthey	kurz vorbereiten	shecthy	kurz vorbereiten | Kurzvorbereitung	2	3	2	WRITE_CANONICAL_UNLESS_LOCAL_ALLOGRAPH_IS_MEMORIZED
IIN	IIN	NONE	1	MC033	oiiin	oiiin|soiiin	Arbeitsstufe	daiiin	Arbeitsstufe | Endstufe	2	3	2	WRITE_CANONICAL_UNLESS_LOCAL_ALLOGRAPH_IS_MEMORIZED
OL+DY+CHED_TRANSFER	OL+DY+CHED_TRANSFER	NONE	3	MC028	olchedy	olchedy|qolchedy	weiterführen; Schluss	NONE	weiterführen; Schluss	1	3	3	WRITE_CANONICAL
OT+AIIN	OT+AIIN	NONE	2	MC060	otaiin	otaiin|sotaiin	Folgemaß	NONE	Folgemaß	1	3	3	WRITE_CANONICAL
OT+AL	OT+AL	NONE	2	MC093	otal	otal|qotal	danach dorthin	NONE	danach dorthin	1	3	3	WRITE_CANONICAL
OT+DY+CHED_TRANSFER	OT+DY+CHED_TRANSFER	NONE	3	MC057	otchedy	otchedy|qotchedy	Folgetransfer; Schluss	otchdy	Folgetransfer; Schluss | Nachtransfer; Schluss	2	3	2	WRITE_CANONICAL_UNLESS_LOCAL_ALLOGRAPH_IS_MEMORIZED
OT+Y	OT+Y	NONE	2	MC171	otchey	otchey	das nächste	qotchy	das nächste | zum nächsten Posten wechseln	2	3	2	WRITE_CANONICAL_UNLESS_LOCAL_ALLOGRAPH_IS_MEMORIZED
AL+SHED	AL+SHED	NONE	2	MC113	shedal	shedal	am Ziel absetzen	NONE	am Ziel absetzen	1	2	2	WRITE_CANONICAL
AL+Y	AL+Y	NONE	2	MC046	raly	raly	Endposten	olsaly	Endposten | Zwischenziel	2	2	1	WRITE_CANONICAL_UNLESS_LOCAL_ALLOGRAPH_IS_MEMORIZED
DY+LSH	DY+LSH	NONE	2	MC038	lshedy	lshedy	Waschgang; Schluss	NONE	Waschgang; Schluss	1	2	2	WRITE_CANONICAL
D_PREVIOUS	D_PREVIOUS	NONE	1	MC142	dchol	dchol|schol	vom vorigen Arbeitsgang nehmen	NONE	vom vorigen Arbeitsgang nehmen	1	2	2	WRITE_CANONICAL
L	L	NONE	1	MC065	ls	ls	Auslass	lcheey	Auslass | Klarabzug	2	2	1	WRITE_CANONICAL_UNLESS_LOCAL_ALLOGRAPH_IS_MEMORIZED
