family_order	family_id	visible_core_or_variants	short_value_de	writing_rule_de	register_reach	observed_support	apprentice_action
1	OK	OK	EINSETZEN	den folgenden Posten in den laufenden Arbeitsgang setzen	HERBAL_BIO_ASTRO_CORE	138	learn as productive stem family
2	OL	OL	WEITER_GLEICHER_LAUF	im selben Arbeitsgang, Ring oder Satz fortfahren	HERBAL_BIO_ASTRO_CORE	59	learn as productive stem family
3	OT	OT	FOLGEPOSTEN	zum folgenden Arbeits- oder Diagrammposten wechseln	HERBAL_BIO_ASTRO_CORE	58	learn as productive stem family
4	AR	AR	VON_QUELLE	die bezeichnete Quelladresse lesen	HERBAL_BIO_ASTRO_CORE	58	learn as productive stem family
5	AL	AL	ZU_ZIEL	die bezeichnete Zieladresse lesen	HERBAL_BIO_ASTRO_CORE	58	learn as productive stem family
6	L	L	AB	aus dem aktiven Posten heraus- oder abführen	BIO_SPECIALIST	23	learn as productive stem family
7	P	P	ZU	in einen lokalen Empfänger zuführen	BIO_SPECIALIST	2	learn as productive stem family
8	AIN	AIN	PORTION	eine abgegrenzte Teilmenge	HERBAL_BIO_ASTRO_CORE	23	learn as productive stem family
9	AN	AN	ZWEITE_PORTION	eine zweite oder alternative Teilmenge	HERBAL_ASTRO_BRIDGE	4	learn as productive stem family
10	AIIN	AIIN	SOLLWERT	den im Exemplar vorgeschriebenen Wert oder Grad	HERBAL_BIO_ASTRO_CORE	63	learn as productive stem family
11	IIN	IIN	STUFE	eine benannte Arbeits- oder Bearbeitungsstufe	HERBAL_BIO_PROSE_CORE	4	learn as productive stem family
12	E_GRADE	E|EE|EEE	GRAD	E=KURZ; EE=LANG; EEE=VOLL	HERBAL_BIO_ASTRO_CORE	106	learn as productive stem family
13	Y	Y	DIES_AKTUELLER_POSTEN	den aktuell gemeinten Posten referieren	HERBAL_BIO_ASTRO_CORE	196	learn as productive stem family
14	DY	DY	FESTSETZEN	Prosa=Arbeitsschritt schließen; Astro=Wert fest eintragen	HERBAL_BIO_ASTRO_CORE	108	learn as productive stem family
15	OR	OR	BEDINGUNGSANSATZ	den laufenden Ansatz oder Bedingungssatz eröffnen	HERBAL_BIO_ASTRO_CORE	36	learn as productive stem family
16	CHO_INPUT	HO|CHO_INPUT	EINGABE	Herbal=Zutat oder Material; Astro=Himmelsobjekt oder Eingangsbedingung	HERBAL_ASTRO_BRIDGE	30	learn as productive stem family
17	CHEO	CHEO	AUSZUG	einen gewonnenen Auszug bezeichnen	HERBAL_SPECIALIST	3	learn as productive stem family
18	AIR	AIR	LAUF_BAHN	einen Lauf oder eine Bahn markieren; lokal Wasserlauf	HERBAL_BIO_ASTRO_CORE	17	learn as productive stem family
19	CHED_TRANSFER	CHED|CHD	UEBERFUEHREN	CHD=kurze, CHED=erweiterte Allographie derselben Transferhandlung	HERBAL_BIO_ASTRO_CORE	57	learn as productive stem family
20	CTH	CTH	BEREIT	einen Posten als vorbereitet oder bereit setzen	HERBAL_BIO_PROSE_CORE	14	learn as productive stem family
21	SHED	SHED	ABSETZEN	ruhen und sich absetzen lassen	BIO_SPECIALIST	17	learn as productive stem family
22	CHK	CHK	ZUSTAND_JUSTIEREN	Prosa häufig erwärmen; Astro Grad oder Zustand justieren	HERBAL_BIO_ASTRO_CORE	9	learn as productive stem family
23	CKH	CKH	DURCHLASS	durch einen Gang oder eine Passage führen	BIO_ASTRO_BRIDGE	14	learn as productive stem family
24	CKHE	CKHE	SEIHEN	durch einen trennenden Durchlass führen	BIO_SPECIALIST	4	learn as productive stem family
25	SOLK	SOLK	SAMMELN	an einer lokalen Sammel- oder Auffangstelle halten	BIO_SPECIALIST	6	learn as productive stem family
26	LSH	LSH	WASCHEN	einen Wasch- oder Spülgang ausführen	BIO_SPECIALIST	3	learn as productive stem family
27	TY	TY	TEIL	einen Materialteil oder Rest bezeichnen	HERBAL_BIO_ASTRO_CORE	8	learn as productive stem family
28	O_WITHDRAW	O_WITHDRAW	ZURUECKNEHMEN	licensed only inside the ODY terminal card	BIO_SPECIALIST	2	learn as productive stem family
29	OS_RECEIVER	OS_RECEIVER	AUFNAHME	receiving or enclosing work field	HERBAL_ASTRO_BRIDGE	3	learn as productive stem family
30	CH_POUR	CH_POUR	ZUGIESSEN	pour the running medium into the active preparation	HERBAL_SPECIALIST	1	learn as productive stem family
31	TCH_PREPARATION	TCH_PREPARATION	BEREITUNG	name the active preparation inside an OL continuation frame	HERBAL_SPECIALIST	1	learn as productive stem family
32	OYK_VESSEL	OYK_VESSEL	GEFAESS	name the vessel carrying the active batch	HERBAL_SPECIALIST	1	learn as productive stem family
33	K_BINDER	K_BINDER	ARGUMENTBINDER	bind Y to a portion grade or CHO to a source	HERBAL_BIO_ASTRO_CORE	10	learn as productive stem family
34	YTY_PART	YTY_PART	FOLGETEIL	name the selected additive or following part	HERBAL_SPECIALIST	2	learn as productive stem family
35	SHFY_DURATION	SHFY_DURATION	STEHZEIT	turn the prescribed value into a standing duration	HERBAL_SPECIALIST	1	learn as productive stem family
36	D_PREVIOUS	D_PREVIOUS	VORIGER	take the continuation from the previous working step	HERBAL_SPECIALIST	2	learn as productive stem family
