master_card_id	master_form	registered_surfaces	learned_value_de	event_support	apprentice_action
MC119	cheey	cheey|shey	Klarlauf	4	memorize as one nomenclator sign; do not split
MC012	dl	dl	Zusatz	2	memorize as one nomenclator sign; do not split
MC059	dain	dain	Einlage	2	memorize as one nomenclator sign; do not split
MC037	tchody	tchody	kalt stellen; Schluss	1	memorize as one nomenclator sign; do not split
MC049	schoal	schoal	Sudansatz	1	memorize as one nomenclator sign; do not split
MC052	qekey	qekey	kurz bearbeiten	1	memorize as one nomenclator sign; do not split
MC061	sshkchdy	sshkchdy	übertragen; Schluss	1	memorize as one nomenclator sign; do not split
MC068	sotodan	sotodan	zur Folgeanwendung weiterführen	1	memorize as one nomenclator sign; do not split
MC071	dchey	dchey	Wurzel	1	memorize as one nomenclator sign; do not split
MC084	rshedy	rshedy	Vollwaschung; Schluss	1	memorize as one nomenclator sign; do not split
MC098	tshol	tshol	Kochgut	1	memorize as one nomenclator sign; do not split
MC099	cheeckhody	cheeckhody	auftragen; Schluss	1	memorize as one nomenclator sign; do not split
MC108	etyd	etyd	kleiner Rest	1	memorize as one nomenclator sign; do not split
MC109	ytey	ytey	Kurzteil	1	memorize as one nomenclator sign; do not split
MC114	sh	sh	Stängel	1	memorize as one nomenclator sign; do not split
MC118	ly	ly	Auffanggefäß	1	memorize as one nomenclator sign; do not split
MC124	lkedy	lkedy	weiter abziehen; Schluss	1	memorize as one nomenclator sign; do not split
MC129	cfhy	cfhy	auswringen	1	memorize as one nomenclator sign; do not split
MC138	dshedy	dshedy	Frischwasser zugeben; Schluss	1	memorize as one nomenclator sign; do not split
MC152	ches	ches	teilen	1	memorize as one nomenclator sign; do not split
MC156	cphy	cphy	nachseihen	1	memorize as one nomenclator sign; do not split
MC160	talam	talam	verwahren; Schluss	1	memorize as one nomenclator sign; do not split
MC164	qokylddy	qokylddy	befestigen; Schluss	1	memorize as one nomenclator sign; do not split
