exercise	source_instruction_de	choose_family_recipe	write_default_card	accepted_surface_spellings	local_allograph_alternatives	observed_event_support	default_writer_hits	teaching_answer_de
1	Sollmaß	AIIN	aiin	aiin|chaiin|daiin|saiin|taiin	chldaiin|ykaiin	22	20	Wähle AIIN; schreibe normalerweise aiin.
2	weiter	OL	cheol	cheol|chol|ol|qol|sol|tol	rol|qolky	21	19	Wähle OL; schreibe normalerweise cheol.
3	dies	Y	chey	chey|chy|dy|shy|sy|y	NONE	18	18	Wähle Y; schreibe normalerweise chey.
4	einsetzen	OK+Y	choky	choky|oky|qoky	chokchy	13	10	Wähle OK+Y; schreibe normalerweise choky.
5	kurz absetzen; Schluss	E_GRADE+DY+SHED[GRADE=E_SHORT]	cheedy	cheedy|shedy|tedy	NONE	12	12	Wähle E_GRADE+DY+SHED[GRADE=E_SHORT]; schreibe normalerweise cheedy.
6	überführen	Y+CHED_TRANSFER	chdy	chdy|chedy	chedchy	12	11	Wähle Y+CHED_TRANSFER; schreibe normalerweise chdy.
7	dorthin	AL	al	al|chal|cheal|dal|sal|tal	ral	11	10	Wähle AL; schreibe normalerweise al.
8	lange einwirken; Schluss	OK+E_GRADE+DY[GRADE=EE_LONG]	qokeedy	qokeedy	NONE	10	10	Wähle OK+E_GRADE+DY[GRADE=EE_LONG]; schreibe normalerweise qokeedy.
9	bemessen	OK+AIIN	okaiin	okaiin|qokaiin	NONE	9	9	Wähle OK+AIIN; schreibe normalerweise okaiin.
10	abführen; Schluss	L+CHED_TRANSFER[LICENSED_CLOSE=YES]	lchedy	lchedy	NONE	8	8	Wähle L+CHED_TRANSFER[LICENSED_CLOSE=YES]; schreibe normalerweise lchedy.
11	kurz einwirken; Schluss	OK+E_GRADE+DY[GRADE=E_SHORT]	qokedy	qokedy	NONE	8	8	Wähle OK+E_GRADE+DY[GRADE=E_SHORT]; schreibe normalerweise qokedy.
12	Anteil zugeben	OK+AIN	okain	okain|qokain	NONE	7	7	Wähle OK+AIN; schreibe normalerweise okain.
13	LAENGER_SETZEN_ODER_HALTEN	OK+E_GRADE+Y[GRADE=EE_LONG]	okeey	okeey|qokeey	NONE	7	7	Wähle OK+E_GRADE+Y[GRADE=EE_LONG]; schreibe normalerweise okeey.
14	Ansatz	OR	chor	chor|or|shor|sor	NONE	7	7	Wähle OR; schreibe normalerweise chor.
15	bereit	Y+CTH	checthy	checthy|cthy|shcthy	NONE	7	7	Wähle Y+CTH; schreibe normalerweise checthy.
16	davon	AR	char	char|dar|sar	skar	6	5	Wähle AR; schreibe normalerweise char.
17	dorthin einsetzen	OK+AL	okal	okal|qokal	NONE	6	6	Wähle OK+AL; schreibe normalerweise okal.
18	Portion	AIN	chkain	chkain|kain	ykain|orain	5	3	Wähle AIN; schreibe normalerweise chkain.
19	neuen Posten einsetzen; Schluss	OK+DY+CHED_TRANSFER	qokchdy	qokchdy	okchedy	5	3	Wähle OK+DY+CHED_TRANSFER; schreibe normalerweise qokchdy.
