forecast	new_instruction_de	predicted_family_recipe	predicted_surface_skeleton	formation_rule	forecast_kind	use_policy
1	Sollmaß einsetzen und festsetzen	OK+AIIN+DY	qok-aiin-dy	OK before quantity; licensed terminal DY after payload	NEW_COMBINATION	prediction for later permitted pages; not inserted into the current translation
2	eine Portion einsetzen und festsetzen	OK+AIN+DY	qok-ain-dy	OK before portion; terminal DY	NEW_COMBINATION	prediction for later permitted pages; not inserted into the current translation
3	zum nächsten Portionsposten wechseln	OT+AIN	ot-ain	OT before following payload	NEW_COMBINATION	prediction for later permitted pages; not inserted into the current translation
4	mit dem vorgeschriebenen Maß weiter	OL+AIIN	ol-aiin	OL before continued value	NEW_COMBINATION	prediction for later permitted pages; not inserted into the current translation
5	das Sollmaß aus der Quelle nehmen	AR+AIIN	ar-aiin	source address plus prescribed value	NEW_COMBINATION	prediction for later permitted pages; not inserted into the current translation
6	das Sollmaß aus der Quelle überführen	AR+AIIN+CHED_TRANSFER	ar-aiin-ched	source and value before transfer	NEW_COMBINATION	prediction for later permitted pages; not inserted into the current translation
7	eine Portion in den Empfänger überführen	P+AIN+CHED_TRANSFER	p-ain-ched	receiver feed plus portion plus transfer	NEW_COMBINATION	prediction for later permitted pages; not inserted into the current translation
8	Sollmenge sammeln und festsetzen	AIIN+SOLK+DY	solk-aiin-dy	collection carrier plus prescribed value and terminal	NEW_COMBINATION	prediction for later permitted pages; not inserted into the current translation
9	einen Waschgang länger halten und schließen	LSH+E_GRADE+DY	lsh-ee-dy	wash base plus long grade plus terminal	NEW_COMBINATION	prediction for later permitted pages; not inserted into the current translation
10	vollständig absetzen und schließen	E_GRADE+DY+SHED	shed-eee-dy	extend attested short/long settle family to full grade	NEW_GRADE_MEMBER	prediction for later permitted pages; not inserted into the current translation
11	lange zur Zielpassage führen	AL+E_GRADE+CKH	al-ee-ckh	extend attested short target-passage to long grade	NEW_GRADE_MEMBER	prediction for later permitted pages; not inserted into the current translation
12	den Folgeposten aus der Quelle überführen und schließen	OT+AR+DY+CHED_TRANSFER	ot-ar-ched-dy	following selector plus source plus terminal transfer	NEW_COMBINATION	prediction for later permitted pages; not inserted into the current translation
