family	role	surface	occurrences	lines	pages	v37_meaning_de	gdt661_default_de	claim_scope
MEASURE_DOSAGE	TARGET	d	53	50	34	OPEN	Dosis	whole-surface comparison; composition does not license substring dispatch
MEASURE_DOSAGE	TARGET	am	67	67	39	OPEN	Maßeinheit I	whole-surface comparison; composition does not license substring dispatch
MEASURE_DOSAGE	TARGET	dam	68	67	52	OPEN	Dosis I	whole-surface comparison; composition does not license substring dispatch
MEASURE_DOSAGE	TARGET	dl	18	17	15	OPEN	Rohstoffmaß	whole-surface comparison; composition does not license substring dispatch
MEASURE_DOSAGE	TARGET	odan	2	2	2	OPEN	Zubereitungsdosis I	whole-surface comparison; composition does not license substring dispatch
MEASURE_DOSAGE	TARGET	kodaiin	2	2	2	OPEN	erhitzte Zubereitung, Dosis III	whole-surface comparison; composition does not license substring dispatch
MEASURE_DOSAGE	TARGET	tdain	2	2	2	OPEN	kalter Grad-/Maßwert II	whole-surface comparison; composition does not license substring dispatch
MEASURE_DOSAGE	VISIBLE_ANCHOR	dal	191	179	87	abgemessene Rohstoffmenge I	ANCHOR_ONLY	whole-surface comparison; composition does not license substring dispatch
MEASURE_DOSAGE	VISIBLE_ANCHOR	dain	193	182	90	Grad-/Maßwert II	ANCHOR_ONLY	whole-surface comparison; composition does not license substring dispatch
MEASURE_DOSAGE	VISIBLE_ANCHOR	daiin	721	638	169	Grad-/Maßwert III	ANCHOR_ONLY	whole-surface comparison; composition does not license substring dispatch
DRUG_KIND_S	TARGET	chs	13	13	10	OPEN	Trockengut, Grundform	whole-surface comparison; composition does not license substring dispatch
DRUG_KIND_S	TARGET	ches	31	31	26	OPEN	trockenes Drogenmaterial, Mittelstufe	whole-surface comparison; composition does not license substring dispatch
DRUG_KIND_S	TARGET	shes	5	5	5	OPEN	feuchtes Drogenmaterial, Mittelstufe	whole-surface comparison; composition does not license substring dispatch
DRUG_KIND_S	TARGET	ols	17	17	16	OPEN	Drogenstoffposten	whole-surface comparison; composition does not license substring dispatch
DRUG_KIND_S	TARGET	qoteees	2	2	2	OPEN	kalter Qualitätsendwert, abgeschlossen	whole-surface comparison; composition does not license substring dispatch
DRUG_KIND_S	VISIBLE_ANCHOR	s	272	261	125	OPEN	ANCHOR_ONLY	whole-surface comparison; composition does not license substring dispatch
