rank	score	strict_eligible	page	locus	section	language	hand	token_count	known_tokens	context_licensed_tokens	ambiguous_tokens	reader_unstable_tokens	unknown_tokens	coverage_fraction	reader_exact_tokens	split_normalized_tokens	all_three_present	all_present_exact	zl3b_line	token_glosses_de	gloss_sources	scope_states	unknown_ordinals	unknown_surfaces	unknown_ordinal	unknown_surface	previous	following	proposed_default_de	proposal_basis	proposal_strength	proposed_complete_translation_de
1	13098600	0	f86v6	f86v6.28	T	B	2	14	13	1	0	3	1	0.928571	11	11	1	0	qokaiin qokar okar qotar lor qokchdy dar shey d y tshedy qotol dytshy dy	heiß, Grad III | heiße Drogenfraktion I | heiße Drogenfraktion I im Ansatz | kalte Drogenfraktion I | Holzportion | heiß und trocken am Anfang des Grades, abgeschlossen | abgemessene Fraktion I | feucht in der Mitte des Grades | Dosis | ; hierzu: | kalt und feucht in der Mitte des Grades, abgeschlossen | kaltes Material | [dytshy:?] | Qualitäts-/Wertfeld geschlossen	V13:TARGET_SURFACE_DEFAULT | GDT654:REVISE_CONFLICTING_EXACT | GDT654:NEW_EXACT_WHOLE | GDT654:NEW_EXACT_WHOLE | V13:SCOPED_CONCRETE_HEAD_FORM | GDT647:FAMILY_MIGRATION | GDT649:STRONG_FAMILY_DEFAULT | GDT647:FAMILY_MIGRATION | GDT661:D_BODY | GDT659:Y_MEDIAL_BIDIRECTIONAL_HINGE | GDT647:FAMILY_MIGRATION | V13:TARGET_SURFACE_DEFAULT | OPEN | GDT660:DY_EOS	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | KNOWN_CONTEXT_LICENSED	13	dytshy	13	dytshy	qotol	dy	[dytshy:?]	NEWLY_EXPOSED_BY_GDT661_NO_NEW_CARD	OPEN	heiß, Grad III; heiße Drogenfraktion I; heiße Drogenfraktion I im Ansatz; kalte Drogenfraktion I; Holzportion; heiß und trocken am Anfang des Grades, abgeschlossen; abgemessene Fraktion I; feucht in der Mitte des Grades; Dosis; hierzu: kalt und feucht in der Mitte des Grades, abgeschlossen; kaltes Material; [dytshy:?].
2	12098700	0	f111v	f111v.16	S	B	3	13	12	1	0	2	1	0.923077	11	11	1	0	qokain sheol qokain shckhey lchedy okar al qotal shedy otain far aiin am	heiß, Grad II | feuchtes Material | heiß, Grad II | Arzneikompositum: feucht, Gradmitte | getrocknetes Drogenholz | heiße Drogenfraktion I im Ansatz | Rohstoffklasse I | Rohstoffklasse I, kalt am Gradanfang | feucht in der Mitte des Grades, abgeschlossen | kalt im Zubereitungsrahmen, Grad II | [far:?] | Menge III | Maßeinheit I	V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT | GDT651:STRONG_LEARNED_CKH_FAMILY | V13:SCOPED_CONCRETE_HEAD_FORM | GDT654:NEW_EXACT_WHOLE | GDT655:NEW_EXACT_WHOLE | GDT656:NEW_EXACT_WHOLE | GDT647:FAMILY_MIGRATION | V13:QUALITY_DEGREE_SERIES | OPEN | V13:TARGET_SURFACE_DEFAULT | GDT661:EXACT_WHOLE:am	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_CONTEXT_LICENSED | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	11	far	11	far	otain	aiin	[far:?]	NEWLY_EXPOSED_BY_GDT661_NO_NEW_CARD	OPEN	heiß, Grad II; feuchtes Material; heiß, Grad II; Arzneikompositum: feucht, Gradmitte; getrocknetes Drogenholz; heiße Drogenfraktion I im Ansatz; Rohstoffklasse I; Rohstoffklasse I, kalt am Gradanfang; feucht in der Mitte des Grades, abgeschlossen; kalt im Zubereitungsrahmen, Grad II; [far:?]; Menge III; Maßeinheit I.
3	12098700	0	f76r	f76r.41	T	B	2	13	12	1	0	1	1	0.923077	12	12	1	0	sain ar okedy lcheey qokey shckhy otedy qokal shey qoky dain chedy qokchdyl	Saatgut, Typ/Charge II | Drogenfraktion I | heißer Ansatz in der Mitte des Grades, abgeschlossen | Drogenholz, trocken gebunden, Form II | heiß in der Mitte des Grades | Arzneikompositum: feucht, Gradanfang | kalter Ansatz in der Mitte des Grades, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang | feucht in der Mitte des Grades | heiß am Anfang des Grades | Grad-/Maßwert II | trocken in der Mitte des Grades, abgeschlossen | [qokchdyl:?]	GDT661:EXACT_WHOLE:sain | GDT654:NEW_EXACT_WHOLE | GDT647:FAMILY_MIGRATION | V13:SCOPED_RESIDUAL_HEAD_FORM | GDT647:FAMILY_MIGRATION | GDT651:STRONG_LEARNED_CKH_FAMILY | GDT647:FAMILY_MIGRATION | GDT656:REVISE_AL_QUALITY_MODEL | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | V13:CONTEXTUAL_VALUE_SERIES | GDT647:FAMILY_MIGRATION | OPEN	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE	13	qokchdyl	13	qokchdyl	chedy	<EOS>	[qokchdyl:?]	NEWLY_EXPOSED_BY_GDT661_NO_NEW_CARD	OPEN	Saatgut, Typ/Charge II; Drogenfraktion I; heißer Ansatz in der Mitte des Grades, abgeschlossen; Drogenholz, trocken gebunden, Form II; heiß in der Mitte des Grades; Arzneikompositum: feucht, Gradanfang; kalter Ansatz in der Mitte des Grades, abgeschlossen; Rohstoffklasse I, heiß am Gradanfang; feucht in der Mitte des Grades; heiß am Anfang des Grades; Grad-/Maßwert II; trocken in der Mitte des Grades, abgeschlossen; [qokchdyl:?]
4	12098700	0	f76v	f76v.38	B	B	2	13	12	1	0	3	1	0.923077	9	9	1	0	saiin chedy shedy qokeedy lol saiiin qokain chey r al r aiin dl	Samen/Saatgut, Typ/Charge III | trocken in der Mitte des Grades, abgeschlossen | feucht in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | Holzstoff | [saiiin:?] | heiß, Grad II | trocken in der Mitte des Grades | Wurzel | Rohstoffklasse I | Wurzel | Menge III | Rohstoffmaß	V13:SCOPED_CONCRETE_HEAD_FORM | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | V13:SCOPED_CONCRETE_HEAD_FORM | OPEN | V13:TARGET_SURFACE_DEFAULT | GDT647:FAMILY_MIGRATION | GDT661:R_BODY | GDT655:NEW_EXACT_WHOLE | GDT661:R_BEFORE_VALUE | V13:TARGET_SURFACE_DEFAULT | GDT661:EXACT_WHOLE:dl	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	6	saiiin	6	saiiin	lol	qokain	[saiiin:?]	NEWLY_EXPOSED_BY_GDT661_NO_NEW_CARD	OPEN	Samen/Saatgut, Typ/Charge III; trocken in der Mitte des Grades, abgeschlossen; feucht in der Mitte des Grades, abgeschlossen; heiß am Ende des Grades, abgeschlossen; Holzstoff; [saiiin:?]; heiß, Grad II; trocken in der Mitte des Grades; Wurzel; Rohstoffklasse I; Wurzel: Menge III; Rohstoffmaß
5	11298800	0	f34v	f34v.10	H	B	2	12	11	1	0	6	1	0.916667	6	6	1	0	daiin chdy tedy kchdy okeedy checkhy chdy kain chear or okedy okam	Grad-/Maßwert III | trocken am Anfang des Grades, abgeschlossen | kalt in der Mitte des Grades, abgeschlossen | heiß und trocken am Anfang des Grades, abgeschlossen | heißer Ansatz am Ende des Grades, abgeschlossen | trockenes Arzneikompositum am Gradanfang | trocken am Anfang des Grades, abgeschlossen | heiß, Grad II | trockene Fraktion I | Drogenportion | heißer Ansatz in der Mitte des Grades, abgeschlossen | [okam:?]	V13:CONTEXTUAL_VALUE_SERIES | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT651:STRONG_LEARNED_CKH_FAMILY | GDT647:FAMILY_MIGRATION | V13:QUALITY_DEGREE_SERIES | GDT639:ROUND_05 | GDT654:REVISE_AMBIGUOUS_TO_EXACT | GDT647:FAMILY_MIGRATION | OPEN	READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_CONTEXT_LICENSED | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | UNKNOWN_SURFACE	12	okam	12	okam	okedy	<EOS>	heiß, Zubereitung/Ansatz, Mengenklasse; nur zeilenfinal zusätzlich Abschluss	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	Grad-/Maßwert III; trocken am Anfang des Grades, abgeschlossen; kalt in der Mitte des Grades, abgeschlossen; heiß und trocken am Anfang des Grades, abgeschlossen; heißer Ansatz am Ende des Grades, abgeschlossen; trockenes Arzneikompositum am Gradanfang; trocken am Anfang des Grades, abgeschlossen; heiß, Grad II; trockene Fraktion I; Drogenportion; heißer Ansatz in der Mitte des Grades, abgeschlossen; heiß, Zubereitung/Ansatz, Mengenklasse; nur zeilenfinal zusätzlich Abschluss
6	11198800	0	f76v	f76v.22	B	B	2	12	11	0	0	4	1	0.916667	8	8	1	0	sol shey qotedy chey dytey teedy lchey qokedy chedy lal chedy lchedy	Samenmaterial/Saatgut | feucht in der Mitte des Grades | kalt in der Mitte des Grades, abgeschlossen | trocken in der Mitte des Grades | [dytey:?] | kalt am Ende des Grades, abgeschlossen | Drogenholz, trocken gebunden, Form I | heiß in der Mitte des Grades, abgeschlossen | trocken in der Mitte des Grades, abgeschlossen | Holzrohstoff I | trocken in der Mitte des Grades, abgeschlossen | getrocknetes Drogenholz	V13:SCOPED_CONCRETE_HEAD_FORM | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | OPEN | GDT647:FAMILY_MIGRATION | V13:SCOPED_RESIDUAL_HEAD_FORM | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | V13:SCOPED_RESIDUAL_HEAD_FORM | GDT647:FAMILY_MIGRATION | V13:SCOPED_CONCRETE_HEAD_FORM	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE	5	dytey	5	dytey	chey	teedy	Grundform	VISIBLE_SINGLE_FIELD_COMPOSITION	LOW	Samenmaterial/Saatgut; feucht in der Mitte des Grades; kalt in der Mitte des Grades, abgeschlossen; trocken in der Mitte des Grades; Grundform; kalt am Ende des Grades, abgeschlossen; Drogenholz, trocken gebunden, Form I; heiß in der Mitte des Grades, abgeschlossen; trocken in der Mitte des Grades, abgeschlossen; Holzrohstoff I; trocken in der Mitte des Grades, abgeschlossen; getrocknetes Drogenholz
7	11098800	0	f81v	f81v.2	B	B	2	12	11	1	2	2	1	0.916667	10	10	1	0	qokedy okaiin kair okal sar ol kain olkain al ol rol dl	heiß in der Mitte des Grades, abgeschlossen | heiß, Grad III, im Ansatzrahmen | [kair:?] | Rohstoffklasse I im Ansatz, heiß am Gradanfang | Samenfraktion I | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiß, Grad II | heißes Drogenmaterial, Grad II | Rohstoffklasse I | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Wurzelstoff | Rohstoffmaß	GDT647:FAMILY_MIGRATION | V13:TARGET_SURFACE_DEFAULT | OPEN | GDT656:REVISE_AL_QUALITY_MODEL | V13:SCOPED_RESIDUAL_HEAD_FORM | V13:QUALITY_STATE_MATERIAL_CARRIER | V13:QUALITY_DEGREE_SERIES | GDT661:EXACT_WHOLE:olkain | GDT655:NEW_EXACT_WHOLE | V13:QUALITY_STATE_MATERIAL_CARRIER | V13:SCOPED_CONCRETE_HEAD_FORM | GDT661:EXACT_WHOLE:dl	READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | AMBIGUOUS_ACTIVE_RIVAL | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | AMBIGUOUS_ACTIVE_RIVAL | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE	3	kair	3	kair	okaiin	okal	[kair:?]	NEWLY_EXPOSED_BY_GDT661_NO_NEW_CARD	OPEN	heiß in der Mitte des Grades, abgeschlossen; heiß, Grad III, im Ansatzrahmen; [kair:?]; Rohstoffklasse I im Ansatz, heiß am Gradanfang; Samenfraktion I; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; heiß, Grad II; heißes Drogenmaterial, Grad II; Rohstoffklasse I; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Wurzelstoff; Rohstoffmaß
8	11098800	0	f82r	f82r.16	B	B	2	12	11	0	1	5	1	0.916667	6	6	1	0	qokeedy lchedy qokeedy cheey r or ol s aiin chey ra dam	heiß am Ende des Grades, abgeschlossen | getrocknetes Drogenholz | heiß am Ende des Grades, abgeschlossen | trocken am Ende des Grades | Wurzel | Drogenportion | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Samen-/Saatgutposten | Menge III | trocken in der Mitte des Grades | [ra:?] | Dosis I	GDT647:FAMILY_MIGRATION | V13:SCOPED_CONCRETE_HEAD_FORM | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT661:R_BODY | GDT654:REVISE_AMBIGUOUS_TO_EXACT | V13:QUALITY_STATE_MATERIAL_CARRIER | GDT660:S_MEDIAL | V13:TARGET_SURFACE_DEFAULT | GDT647:FAMILY_MIGRATION | OPEN | GDT661:EXACT_WHOLE:dam	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | AMBIGUOUS_ACTIVE_RIVAL | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | READER_BOUNDARY_UNSTABLE	11	ra	11	ra	chey	dam	[ra:?]	NEWLY_EXPOSED_BY_GDT661_NO_NEW_CARD	OPEN	heiß am Ende des Grades, abgeschlossen; getrocknetes Drogenholz; heiß am Ende des Grades, abgeschlossen; trocken am Ende des Grades; Wurzel; Drogenportion; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Samen-/Saatgutposten; Menge III; trocken in der Mitte des Grades; [ra:?]; Dosis I.
9	10298900	0	f103r	f103r.43	S	B	3	11	10	0	1	2	1	0.909091	9	9	1	0	tar cheal ol sheey qotal sheal qokal sheedy okeshedy shokey qokaiin	kalte Drogenfraktion I | Rohstoffklasse I, trocken in der Gradmitte | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | feucht am Ende des Grades | Rohstoffklasse I, kalt am Gradanfang | Rohstoffklasse I, feucht in der Gradmitte | Rohstoffklasse I, heiß am Gradanfang | feucht am Ende des Grades, abgeschlossen | [okeshedy:?] | heiß-feuchter Ansatz in der Gradmitte | heiß, Grad III	GDT654:NEW_EXACT_WHOLE | GDT656:NEW_EXACT_WHOLE | V13:QUALITY_STATE_MATERIAL_CARRIER | GDT647:FAMILY_MIGRATION | GDT656:NEW_EXACT_WHOLE | GDT656:NEW_EXACT_WHOLE | GDT656:REVISE_AL_QUALITY_MODEL | GDT647:FAMILY_MIGRATION | OPEN | GDT652:STRONG_COMPONENT_GRID | V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | AMBIGUOUS_ACTIVE_RIVAL | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | UNKNOWN_SURFACE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE	9	okeshedy	9	okeshedy	sheedy	shokey	heiß, Zubereitung/Ansatz, fertig aufbereitete Form	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	kalte Drogenfraktion I; Rohstoffklasse I, trocken in der Gradmitte; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; feucht am Ende des Grades; Rohstoffklasse I, kalt am Gradanfang; Rohstoffklasse I, feucht in der Gradmitte; Rohstoffklasse I, heiß am Gradanfang; feucht am Ende des Grades, abgeschlossen; heiß, Zubereitung/Ansatz, fertig aufbereitete Form; heiß-feuchter Ansatz in der Gradmitte; heiß, Grad III
10	10298900	0	f107r	f107r.51	S	B	3	11	10	2	1	2	1	0.909091	9	9	1	0	sar ain chol ol cheey otal otal ol otchy qoky otaily	Samenfraktion I | Menge-/Klassenwert II | trocken; nominal trockenes Gut/Material | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken am Ende des Grades | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | kalt-trockener Ansatz am Anfang des Grades | heiß am Anfang des Grades | [otaily:?]	V13:SCOPED_RESIDUAL_HEAD_FORM | V13:VALUE_MINIM_SERIES | V13:DRY_OL_FORM | V13:QUALITY_STATE_MATERIAL_CARRIER | GDT647:FAMILY_MIGRATION | GDT656:REVISE_AL_QUALITY_MODEL | GDT656:REVISE_AL_QUALITY_MODEL | V13:QUALITY_STATE_MATERIAL_CARRIER | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | OPEN	KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | AMBIGUOUS_ACTIVE_RIVAL | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE	11	otaily	11	otaily	qoky	<EOS>	kalt, Zubereitung/Ansatz, Grundform	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	Samenfraktion I; Menge-/Klassenwert II; trocken; nominal trockenes Gut/Material; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trocken am Ende des Grades; Rohstoffklasse I im Ansatz, kalt am Gradanfang; Rohstoffklasse I im Ansatz, kalt am Gradanfang; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; kalt-trockener Ansatz am Anfang des Grades; heiß am Anfang des Grades; kalt, Zubereitung/Ansatz, Grundform
