occurrence_id	page	locus	token_index	ordinal	line_length	surface	token_kind	position	section	language	hand	family	scope_mode	rendering_class	left_surface	right_surface	working_gloss_de	working_render_de	composition	strongest_rival_de	reader_exact	split_normalized	all_three_present	all_present_exact	zl3b_line	it2a_line	rf1b_line	v37_gloss_de	v38_gloss_de	v37_scope_state	v38_scope_state	v38_working_translation_de	exact_surface_dispatch	context_surface_dispatch	substring_dispatch
G661-T0001	f100r	f100r.12	9	9	10	cho	P	MEDIAL	P	A	1	HOT_DRY_PREP	EXACT_WHOLE_WITH_CONTEXT_RENDERING	CHO_BODY	sheey	s	Trockenansatz	Trockenansatz	CH_DRY+O_PREP	Trockengut statt Zubereitung	0	0	1	0	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	pcheol sheod qocpheeckhy shodol cthdaoto ch qeos sheey chcthso s	pcheol sheod qocpheeckhy shodol da oto chqeos sheey cho s	[cho:?]	Trockenansatz	UNKNOWN_SURFACE	READER_BOUNDARY_UNSTABLE	[pcheol:?]; [sheod:?]; [qocpheeckhy:?]; [shodol:?]; [da:?]; [oto:?]; [choos:?]; feucht am Ende des Grades; Trockenansatz; Samen-/Saatgutposten.	1	0	0
G661-T0002	f100r	f100r.27	3	3	5	cho	P	MEDIAL	P	A	1	HOT_DRY_PREP	EXACT_WHOLE_WITH_CONTEXT_RENDERING	CHO_BODY	cheol	chckheody	Trockenansatz	Trockenansatz	CH_DRY+O_PREP	Trockengut statt Zubereitung	1	1	1	1	chol cheol cho chckheody otolchey	chol cheol cho chckheody otolchey	chol cheol cho chckheody otolchey	[cho:?]	Trockenansatz	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	trocken; nominal trockenes Gut/Material; trockener Drogenstoff; Trockenansatz; [chckheody:?]; [otolchey:?]	1	0	0
G661-T0003	f100v	f100v.15	10	10	11	chotol	P	MEDIAL	P	A	1	HOT_DRY_PREP	EXACT_WHOLE_WITH_CONTEXT_RENDERING	EXACT_WHOLE	qokeol	s	Trockenansatz aus kaltem Material	Trockenansatz aus kaltem Material	CHO_DRY_PREP+TOL_COLD_MATERIAL	kalt-trockener Zubereitungsstoff	0	0	1	0	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotols	sor cheey dair al cheol qoolkeey chol cheey qokeol chotols	[chotol:?]	Trockenansatz aus kaltem Material	UNKNOWN_SURFACE	READER_BOUNDARY_UNSTABLE	Samenportion; trocken am Ende des Grades; abgemessene Fraktion II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trockener Drogenstoff; [qoolkeey:?]; trocken; nominal trockenes Gut/Material; trocken am Ende des Grades; [qokeol:?]; Trockenansatz aus kaltem Material; Samen-/Saatgutposten.	1	0	0
G661-T0004	f100v	f100v.16	8	8	11	ches	P	MEDIAL	P	A	1	DRUG_KIND_S	EXACT_WHOLE_WITH_CONTEXT_RENDERING	EXACT_WHOLE	okeol	okeor	trockenes Drogenmaterial, Mittelstufe	trockenes Drogenmaterial, Mittelstufe	CH_DRY+E_MIDDLE+S_BOUND	trockene Arzneispecies	1	1	1	0	ykeeol chol chey eeoseeo s sheeo okeol ches okeor okeol dy	ykeeol chol chey eeoseeos sheeo okeol ches okeor okeol dy	ykeeol chol che eeoseeos sheeo okeol ches okeor okeol dy	[ches:?]	trockenes Drogenmaterial, Mittelstufe	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	[ykeeol:?]; trocken; nominal trockenes Gut/Material; trocken in der Mitte des Grades; [eeoseeo:?]; Samen-/Saatgutposten; [sheeo:?]; [okeol:?]; trockenes Drogenmaterial, Mittelstufe; [okeor:?]; [okeol:?].	1	0	0
G661-T0005	f100v	f100v.19	1	1	8	sain	P	BOS	P	A	1	SEED_FORMS	EXACT_WHOLE_WITH_CONTEXT_RENDERING	EXACT_WHOLE	<BOS>	cheokeos	Saatgut, Typ/Charge II	Saatgut, Typ/Charge II	S_SEED+AIN_II	Samenmenge II	1	1	1	0	sain cheokeos chockhy chocthey keody choor chckhey du	sain cheokeos chockhy chocthey kchody chockhhor chckhey dan	sain cheokeos chockhy chocthey keody choor chckhey du	[sain:?]	Saatgut, Typ/Charge II	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	Saatgut, Typ/Charge II; [cheokeos:?]; Arzneikompositum im Trockenansatz am Gradanfang; [chocthey:?]; [keody:?]; [choor:?]; Arzneikompositum: trocken, Gradmitte; [du:?]	1	0	0
G661-T0006	f102v1	f102v1.20	6	6	9	sheody	P	MEDIAL	P	A	1	PREPARATION_YO	EXACT_WHOLE_WITH_CONTEXT_RENDERING	EXACT_WHOLE	qokeody	qoeteey	angefeuchteter Ansatz, abgeschlossen	angefeuchteter Ansatz, abgeschlossen	SHEO_MOIST_PREP+DY_CLOSED	fertig aufbereitete Feuchtzubereitung	1	1	1	0	soiin shey qokeey qoeeol qokeody sheody qoeteey okeey dam	soiin shey qokeey qoeeol qokeody sheody qoeteey okeey dom	soiin shey qokeey qoeeol qokeody sheody qoeteey okeey dam	[sheody:?]	angefeuchteter Ansatz, abgeschlossen	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	Samen/Saatgutzubereitung, Form III; feucht in der Mitte des Grades; heiß am Ende des Grades; [qoeeol:?]; [qokeody:?]; angefeuchteter Ansatz, abgeschlossen; [qoeteey:?]; heißer Ansatz am Ende des Grades; Dosis I.	1	0	0
G661-T0007	f102v1	f102v1.20	9	9	9	dam	P	EOS	P	A	1	MEASURE_DOSAGE	EXACT_WHOLE_WITH_CONTEXT_RENDERING	DAM_TERMINAL	okeey	<EOS>	Dosis I	Dosis I.	D_DOSE+A_VALUE+M_UNIT_I	Maßeinheit I oder Schlussmarke	0	0	1	0	soiin shey qokeey qoeeol qokeody sheody qoeteey okeey dam	soiin shey qokeey qoeeol qokeody sheody qoeteey okeey dom	soiin shey qokeey qoeeol qokeody sheody qoeteey okeey dam	[dam:?]	Dosis I	UNKNOWN_SURFACE	READER_BOUNDARY_UNSTABLE	Samen/Saatgutzubereitung, Form III; feucht in der Mitte des Grades; heiß am Ende des Grades; [qoeeol:?]; [qokeody:?]; angefeuchteter Ansatz, abgeschlossen; [qoeteey:?]; heißer Ansatz am Ende des Grades; Dosis I.	1	0	0
G661-T0008	f102v1	f102v1.23	4	4	8	sheody	P	MEDIAL	P	A	1	PREPARATION_YO	EXACT_WHOLE_WITH_CONTEXT_RENDERING	EXACT_WHOLE	qokey	qockhey	angefeuchteter Ansatz, abgeschlossen	angefeuchteter Ansatz, abgeschlossen	SHEO_MOIST_PREP+DY_CLOSED	fertig aufbereitete Feuchtzubereitung	1	1	1	0	ksheody sho qokey sheody qockhey olcheor odain okchody	ksheody sho qokey sheody qockhey olcheor odain okchoda	ksheody sho qokey sheody qockhey ol cheor odain okchody	[sheody:?]	angefeuchteter Ansatz, abgeschlossen	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	[ksheody:?]; feuchter Ansatz; heiß in der Mitte des Grades; angefeuchteter Ansatz, abgeschlossen; [qockhey:?]; [olcheor:?]; [odain:?]; [okchody:?]	1	0	0
G661-T0009	f102v2	f102v2.19	9	9	13	r	P	MEDIAL	P	A	1	ROOT_HEAD	OCCURRENCE_SCOPED_CONTEXT_CARD	R_BODY	o	o	Wurzel	Wurzel	R_ROOT_HEAD	Harz oder Bezugszeichen	0	0	1	0	deeeo qoeeor o eoy cheos o l o r o l okeeos ain	dcheo qoeeor oeoikhy cheos ol or ol okeeor ain	deeeo qoeeas o eoy cheos o l or ol okeeos ain	[r:?]	Wurzel	UNKNOWN_SURFACE	READER_BOUNDARY_UNSTABLE	[deeeo:?]; [qoeeor:?]; [o:?]; [eoy:?]; [cheos:?]; [o:?]; [l:?]; [o:?]; Wurzel; [o:?]; [l:?]; [okeeos:?]; Menge-/Klassenwert II	0	1	0
G661-T0010	f102v2	f102v2.20	2	2	12	cho	P	MEDIAL	P	A	1	HOT_DRY_PREP	EXACT_WHOLE_WITH_CONTEXT_RENDERING	CHO_BODY	qokeor	keeol	Trockenansatz	Trockenansatz	CH_DRY+O_PREP	Trockengut statt Zubereitung	1	1	1	0	qokeor cho keeol okeeey qokeody chockhey qokeey dol ol sheeoy tody cheoc	qekeor cho keeol okeeey qokeody chockhey qokeey dol ol sheeoy tody cheoe	qokeor cho keeol okeeey qokeo y chockhey qokeey dol ol sheeoy to y cheoc	[cho:?]	Trockenansatz	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	[qokeor:?]; Trockenansatz; [keeol:?]; [okeeey:?]; [qokeody:?]; Arzneikompositum im Trockenansatz in der Gradmitte; heiß am Ende des Grades; Materialmaß; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; [sheeoy:?]; [tody:?]; [cheoc:?]	1	0	0
