surface	working_meaning_de	composition	strongest_rival_de	strength	occurrences	scope	status
dam	Dosis I	D_DOSE+A_VALUE+M_UNIT_I	Maßeinheit I oder Schlussmarke	CONTEXT_STRONG	68	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
ches	trockenes Drogenmaterial, Mittelstufe	CH_DRY+E_MIDDLE+S_BOUND	trockene Arzneispecies	MEDIUM_EXACT_WHOLE	31	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
chs	Trockengut, Grundform	CH_DRY+S_BOUND_BASE	trockene Arzneistoffform am Gradanfang	MEDIUM_EXACT_WHOLE	13	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
lkeey	Drogenholz, heiß am Gradende	L_WOOD+K_HOT+EEY_GRADE_END	heißer L-Rahmenwert ohne Holz	MEDIUM_EXACT_WHOLE	38	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
okchol	heißer Ansatz aus Trockengut	O_PREP+K_HOT+CHOL_DRY_MATERIAL	heiß-trockener Zubereitungsstoff	STRONG_FAMILY_COMPOSITION	10	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
ctholy	Blatt-/Krautdroge, Grundform	CTHOL_HERBAL_MATERIAL+Y_BASE	unspezifisches CTH-Drogenmaterial	STRONG_FAMILY_COMPOSITION	4	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
ols	Drogenstoffposten	OL_MATERIAL+S_BOUND	Samenstoff oder Sortenmarke	MEDIUM_EXACT_WHOLE	17	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
dl	Rohstoffmaß	D_MEASURE+L_MATERIAL_SHORT	verkürztes DAL oder Drogenholzmaß	MEDIUM_EXACT_WHOLE	18	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
ykchy	Eintrag/Bezug: heiß-trocken am Gradanfang	Y_ENTRY_REF+KCH_HOT_DRY+Y_GRADE_START	Y als reine Grenze vor KCHY	STRONG_FAMILY_COMPOSITION	20	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
kchar	heiße Trockenfraktion I	K_HOT+CH_DRY+AR_FRACTION_I	heiße Drogenfraktion I	MEDIUM_EXACT_WHOLE	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
