card_id	rendering_class	surfaces	occurrences	working_render_de	selection_rule	semantic_effect
G661-C01	AM_BODY	am	13	Maßeinheit I	exact token equality plus physical-line position, right neighbour, or label kind	punctuation/attachment only; lexical whole-word default remains unchanged
G661-C02	AM_LABEL	am	1	[Maßeinheit-I-Zeichen]	exact token equality plus physical-line position, right neighbour, or label kind	punctuation/attachment only; lexical whole-word default remains unchanged
G661-C03	AM_TERMINAL	am	53	Maßeinheit I.	exact token equality plus physical-line position, right neighbour, or label kind	punctuation/attachment only; lexical whole-word default remains unchanged
G661-C04	CHO_BODY	cho	69	Trockenansatz	exact token equality plus physical-line position, right neighbour, or label kind	punctuation/attachment only; lexical whole-word default remains unchanged
G661-C05	CHO_HEAD	cho	2	Trockenansatz:	exact token equality plus physical-line position, right neighbour, or label kind	punctuation/attachment only; lexical whole-word default remains unchanged
G661-C06	CHO_TERMINAL	cho	4	Trockenansatz	exact token equality plus physical-line position, right neighbour, or label kind	punctuation/attachment only; lexical whole-word default remains unchanged
G661-C07	DAM_BODY	dam	24	Dosis I	exact token equality plus physical-line position, right neighbour, or label kind	punctuation/attachment only; lexical whole-word default remains unchanged
G661-C08	DAM_LABEL	dam	1	[Dosis-I-Zeichen]	exact token equality plus physical-line position, right neighbour, or label kind	punctuation/attachment only; lexical whole-word default remains unchanged
G661-C09	DAM_TERMINAL	dam	43	Dosis I.	exact token equality plus physical-line position, right neighbour, or label kind	punctuation/attachment only; lexical whole-word default remains unchanged
G661-C10	D_BEFORE_VALUE	d	8	davon/Dosis:	exact token equality plus physical-line position, right neighbour, or label kind	occurrence-scoped lexical card
G661-C11	D_BODY	d	28	Dosis	exact token equality plus physical-line position, right neighbour, or label kind	occurrence-scoped lexical card
G661-C12	D_LABEL	d	6	[Dosiszeichen]	exact token equality plus physical-line position, right neighbour, or label kind	occurrence-scoped lexical card
G661-C13	D_TERMINAL	d	11	Dosisvermerk.	exact token equality plus physical-line position, right neighbour, or label kind	occurrence-scoped lexical card
G661-C14	R_BEFORE_VALUE	r	33	Wurzel:	exact token equality plus physical-line position, right neighbour, or label kind	occurrence-scoped lexical card
G661-C15	R_BODY	r	90	Wurzel	exact token equality plus physical-line position, right neighbour, or label kind	occurrence-scoped lexical card
G661-C16	R_HEAD	r	1	Wurzel:	exact token equality plus physical-line position, right neighbour, or label kind	occurrence-scoped lexical card
G661-C17	R_LABEL	r	5	[Wurzelzeichen]	exact token equality plus physical-line position, right neighbour, or label kind	occurrence-scoped lexical card
G661-C18	Y_WHOLE_ENTRY	ychoy	1	Eintrag: Trockenansatz am Gradanfang	exact token equality plus physical-line position, right neighbour, or label kind	punctuation/attachment only; lexical whole-word default remains unchanged
G661-C19	Y_WHOLE_ENTRY	ykchy	4	Eintrag: heiß-trocken am Gradanfang	exact token equality plus physical-line position, right neighbour, or label kind	punctuation/attachment only; lexical whole-word default remains unchanged
G661-C20	Y_WHOLE_ENTRY	ykeedy	4	Eintrag: heiß am Gradende, abgeschlossen	exact token equality plus physical-line position, right neighbour, or label kind	punctuation/attachment only; lexical whole-word default remains unchanged
G661-C21	Y_WHOLE_ENTRY	ytal	1	Eintrag: kalter Rohstoff I am Gradanfang	exact token equality plus physical-line position, right neighbour, or label kind	punctuation/attachment only; lexical whole-word default remains unchanged
G661-C22	Y_WHOLE_ENTRY	yteody	3	Eintrag: kalte Zubereitung, abgeschlossen	exact token equality plus physical-line position, right neighbour, or label kind	punctuation/attachment only; lexical whole-word default remains unchanged
G661-C23	Y_WHOLE_REFERENCE	ykchy	16	hierzu: heiß-trocken am Gradanfang	exact token equality plus physical-line position, right neighbour, or label kind	punctuation/attachment only; lexical whole-word default remains unchanged
G661-C24	Y_WHOLE_REFERENCE	ykeedy	22	hierzu: heiß am Gradende, abgeschlossen	exact token equality plus physical-line position, right neighbour, or label kind	punctuation/attachment only; lexical whole-word default remains unchanged
G661-C25	Y_WHOLE_REFERENCE	ytal	11	hierzu: kalter Rohstoff I am Gradanfang	exact token equality plus physical-line position, right neighbour, or label kind	punctuation/attachment only; lexical whole-word default remains unchanged
G661-C26	Y_WHOLE_REFERENCE	yteody	4	hierzu: kalte Zubereitung, abgeschlossen	exact token equality plus physical-line position, right neighbour, or label kind	punctuation/attachment only; lexical whole-word default remains unchanged
