occurrence_id	page	locus	ordinal	surface	position	reader_exact	split_normalized	all_present_exact	zl3b_line	it2a_line	rf1b_line	claim_boundary
G661-T0001	f100r	f100r.12	9	cho	MEDIAL	0	0	0	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	pcheol sheod qocpheeckhy shodol cthdaoto ch qeos sheey chcthso s	pcheol sheod qocpheeckhy shodol da oto chqeos sheey cho s	reader agreement conditions confidence only; it does not identify plaintext
G661-T0002	f100r	f100r.27	3	cho	MEDIAL	1	1	1	chol cheol cho chckheody otolchey	chol cheol cho chckheody otolchey	chol cheol cho chckheody otolchey	reader agreement conditions confidence only; it does not identify plaintext
G661-T0003	f100v	f100v.15	10	chotol	MEDIAL	0	0	0	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotols	sor cheey dair al cheol qoolkeey chol cheey qokeol chotols	reader agreement conditions confidence only; it does not identify plaintext
G661-T0004	f100v	f100v.16	8	ches	MEDIAL	1	1	0	ykeeol chol chey eeoseeo s sheeo okeol ches okeor okeol dy	ykeeol chol chey eeoseeos sheeo okeol ches okeor okeol dy	ykeeol chol che eeoseeos sheeo okeol ches okeor okeol dy	reader agreement conditions confidence only; it does not identify plaintext
G661-T0005	f100v	f100v.19	1	sain	BOS	1	1	0	sain cheokeos chockhy chocthey keody choor chckhey du	sain cheokeos chockhy chocthey kchody chockhhor chckhey dan	sain cheokeos chockhy chocthey keody choor chckhey du	reader agreement conditions confidence only; it does not identify plaintext
G661-T0006	f102v1	f102v1.20	6	sheody	MEDIAL	1	1	0	soiin shey qokeey qoeeol qokeody sheody qoeteey okeey dam	soiin shey qokeey qoeeol qokeody sheody qoeteey okeey dom	soiin shey qokeey qoeeol qokeody sheody qoeteey okeey dam	reader agreement conditions confidence only; it does not identify plaintext
G661-T0007	f102v1	f102v1.20	9	dam	EOS	0	0	0	soiin shey qokeey qoeeol qokeody sheody qoeteey okeey dam	soiin shey qokeey qoeeol qokeody sheody qoeteey okeey dom	soiin shey qokeey qoeeol qokeody sheody qoeteey okeey dam	reader agreement conditions confidence only; it does not identify plaintext
G661-T0008	f102v1	f102v1.23	4	sheody	MEDIAL	1	1	0	ksheody sho qokey sheody qockhey olcheor odain okchody	ksheody sho qokey sheody qockhey olcheor odain okchoda	ksheody sho qokey sheody qockhey ol cheor odain okchody	reader agreement conditions confidence only; it does not identify plaintext
G661-T0009	f102v2	f102v2.19	9	r	MEDIAL	0	0	0	deeeo qoeeor o eoy cheos o l o r o l okeeos ain	dcheo qoeeor oeoikhy cheos ol or ol okeeor ain	deeeo qoeeas o eoy cheos o l or ol okeeos ain	reader agreement conditions confidence only; it does not identify plaintext
G661-T0010	f102v2	f102v2.20	2	cho	MEDIAL	1	1	0	qokeor cho keeol okeeey qokeody chockhey qokeey dol ol sheeoy tody cheoc	qekeor cho keeol okeeey qokeody chockhey qokeey dol ol sheeoy tody cheoe	qokeor cho keeol okeeey qokeo y chockhey qokeey dol ol sheeoy to y cheoc	reader agreement conditions confidence only; it does not identify plaintext
G661-T0011	f102v2	f102v2.22	12	r	MEDIAL	0	0	0	dain or aiin cheol s oiir chol sheey qockhy ol keo r okeody okeor cho	doin or oiin cheol soiir chol sheey qockhy ol keor okeody okeor chos	d in or aiin cheol s oiir chol sheey qockhy ol keor okeody okeor cho	reader agreement conditions confidence only; it does not identify plaintext
G661-T0012	f102v2	f102v2.22	15	cho	EOS	0	0	0	dain or aiin cheol s oiir chol sheey qockhy ol keo r okeody okeor cho	doin or oiin cheol soiir chol sheey qockhy ol keor okeody okeor chos	d in or aiin cheol s oiir chol sheey qockhy ol keor okeody okeor cho	reader agreement conditions confidence only; it does not identify plaintext
G661-T0013	f102v2	f102v2.34	5	okchol	MEDIAL	0	0	0	sorshey okeeor sheockhey qokeos okchol ctheor okey sal	sor shey okeeor sheockhey qokeos okeeol ctheor okey sal	sos shey okeeor sheockhey qokeos okeeol ctheos okey sal	reader agreement conditions confidence only; it does not identify plaintext
G661-T0014	f103r	f103r.2	11	lkeey	MEDIAL	1	1	0	dain shek chdy daloky opchedy peshol chep ar otchy sal lkeey sar ain ok chedy	dain shek chcphhdy daloky opchedy peshol chep ar otchy sal lkeey sar ain ok chedy	dain shek chdy daloky opche y pcheol chep ar otchy sal lkeey sar ain okad che y	reader agreement conditions confidence only; it does not identify plaintext
G661-T0015	f103r	f103r.28	11	lkeedy	EOS	1	1	0	deshedy qokeeey dalkain okaiin chedy qokeey otain ain ol cheey lkeedy	deshedy qokchey dalkain okaiin chedy qokeey otain ain ol cheey lkeedy	deshedy qokeeey dalkain okaiin chedy qokeey otain ain ol cheey lkeedy	reader agreement conditions confidence only; it does not identify plaintext
