decision_id	surface	family	working_default_de	composition	strongest_rival_de	occurrences	lines	pages	reader_exact_occurrences	split_normalized_occurrences	rendering_classes	strength	status
G661-D01	dam	MEASURE_DOSAGE	Dosis I	D_DOSE+A_VALUE+M_UNIT_I	Maßeinheit I oder Schlussmarke	68	67	52	37	37	DAM_BODY|DAM_LABEL|DAM_TERMINAL	CONTEXT_STRONG	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D02	ches	DRUG_KIND_S	trockenes Drogenmaterial, Mittelstufe	CH_DRY+E_MIDDLE+S_BOUND	trockene Arzneispecies	31	31	26	28	28	EXACT_WHOLE	MEDIUM_EXACT_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D03	chs	DRUG_KIND_S	Trockengut, Grundform	CH_DRY+S_BOUND_BASE	trockene Arzneistoffform am Gradanfang	13	13	10	11	11	EXACT_WHOLE	MEDIUM_EXACT_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D04	lkeey	WOOD_HEAT_GRADE	Drogenholz, heiß am Gradende	L_WOOD+K_HOT+EEY_GRADE_END	heißer L-Rahmenwert ohne Holz	38	37	19	34	34	EXACT_WHOLE	MEDIUM_EXACT_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D05	okchol	HOT_DRY_PREP	heißer Ansatz aus Trockengut	O_PREP+K_HOT+CHOL_DRY_MATERIAL	heiß-trockener Zubereitungsstoff	10	9	8	9	9	EXACT_WHOLE	STRONG_FAMILY_COMPOSITION	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D06	r	ROOT_HEAD	Wurzel	R_ROOT_HEAD	Harz oder Bezugszeichen	129	127	74	57	57	R_BEFORE_VALUE|R_BODY|R_HEAD|R_LABEL	CONTEXT_STRONG	ACCEPT_V38_CONTEXT_SCOPED_NOT_GLOBAL_LEXEME
G661-D07	ctholy	CTH_HERBAL	Blatt-/Krautdroge, Grundform	CTHOL_HERBAL_MATERIAL+Y_BASE	unspezifisches CTH-Drogenmaterial	4	4	4	4	4	EXACT_WHOLE	STRONG_FAMILY_COMPOSITION	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D08	ols	DRUG_KIND_S	Drogenstoffposten	OL_MATERIAL+S_BOUND	Samenstoff oder Sortenmarke	17	17	16	12	12	EXACT_WHOLE	MEDIUM_EXACT_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D09	dl	MEASURE_DOSAGE	Rohstoffmaß	D_MEASURE+L_MATERIAL_SHORT	verkürztes DAL oder Drogenholzmaß	18	17	15	13	13	EXACT_WHOLE	MEDIUM_EXACT_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D10	ykchy	QUALITY_START	Eintrag/Bezug: heiß-trocken am Gradanfang	Y_ENTRY_REF+KCH_HOT_DRY+Y_GRADE_START	Y als reine Grenze vor KCHY	20	20	17	15	15	Y_WHOLE_ENTRY|Y_WHOLE_REFERENCE	STRONG_FAMILY_COMPOSITION	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D11	kchar	FRACTION_PART	heiße Trockenfraktion I	K_HOT+CH_DRY+AR_FRACTION_I	heiße Drogenfraktion I	1	1	1	1	1	EXACT_WHOLE	MEDIUM_EXACT_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D12	qokorar	FRACTION_PART	heiße Drogenportion, Fraktion I	QO_FRAME+K_HOT+OR_PORTION+AR_FRACTION_I	heiße Portionszubereitung, Dosis I	1	1	1	1	1	EXACT_WHOLE	MEDIUM_EXACT_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D13	ychoy	PREPARATION_YO	Eintrag/Bezug: Trockenansatz am Gradanfang	Y_ENTRY_REF+CHO_DRY_PREP+Y_START	Trockenansatz dieser Droge	1	1	1	1	1	Y_WHOLE_ENTRY	MEDIUM_EXACT_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D14	sheoy	PREPARATION_YO	feucht angesetzte Zubereitung am Gradanfang	SHEO_MOIST_PREP+Y_START	Feuchtzubereitung in Grundform	3	3	3	1	1	EXACT_WHOLE	MEDIUM_EXACT_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D15	ytal	QUALITY_START	Eintrag/Bezug: kalter Rohstoff I am Gradanfang	Y_ENTRY_REF+T_COLD+AL_RAW_I	Y als reine Eintragsgrenze	12	12	10	12	12	Y_WHOLE_ENTRY|Y_WHOLE_REFERENCE	STRONG_FAMILY_COMPOSITION	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D16	sokaiin	SEED_FORMS	heißer Samenansatz, Grad III	S_SEED+O_PREP+K_HOT+AIIN_III	Saatgutzubereitung, Dosis III	1	1	1	1	1	EXACT_WHOLE	MEDIUM_EXACT_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D17	shes	DRUG_KIND_S	feuchtes Drogenmaterial, Mittelstufe	SH_MOIST+E_MIDDLE+S_BOUND	feuchte Arzneispecies	5	5	5	2	2	EXACT_WHOLE	MEDIUM_EXACT_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D18	qekeochor	PREPARATION_MISC	heiße trocken angesetzte Drogenportion	QE_BOUND+KEO_HEATED_PREP+CHOR_PORTION	Auszug aus Blüten-/Fruchtstand	1	1	1	1	1	EXACT_WHOLE	LOW_EXPLORATORY	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D19	okary	FRACTION_PART	heiße Ansatzfraktion I, abgeschlossen	OKAR_HOT_PREP_FRACTION_I+Y_CLOSE	Grundform statt Abschluss	8	8	8	5	5	EXACT_WHOLE	MEDIUM_EXACT_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D20	shkair	FRACTION_PART	heiße angefeuchtete Drogenfraktion II	SH_MOIST+K_HOT+AIR_FRACTION_II	feuchte Fraktion II	2	2	2	1	1	EXACT_WHOLE	LOW_EXPLORATORY	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D21	keor	FRACTION_PART	heiße Drogenportion	K_HOT+E_BOUND+OR_PORTION	heißer Drogenteil	6	6	6	5	5	EXACT_WHOLE	MEDIUM_EXACT_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D22	odan	MEASURE_DOSAGE	Zubereitungsdosis I	O_PREP+D_DOSE+AN_I	Ansatzmenge I	2	2	2	2	2	EXACT_WHOLE	STRONG_FAMILY_COMPOSITION	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D23	kodaiin	MEASURE_DOSAGE	erhitzte Zubereitung, Dosis III	K_HOT+O_PREP+D_DOSE+AIIN_III	heiße Ansatzcharge III	2	2	2	2	2	EXACT_WHOLE	STRONG_FAMILY_COMPOSITION	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D24	cho	HOT_DRY_PREP	Trockenansatz	CH_DRY+O_PREP	Trockengut statt Zubereitung	75	75	51	45	45	CHO_BODY|CHO_HEAD|CHO_TERMINAL	CONTEXT_STRONG	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D25	chotol	HOT_DRY_PREP	Trockenansatz aus kaltem Material	CHO_DRY_PREP+TOL_COLD_MATERIAL	kalt-trockener Zubereitungsstoff	7	7	7	5	5	EXACT_WHOLE	STRONG_FAMILY_COMPOSITION	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D26	d	MEASURE_DOSAGE	Dosis	D_DOSE_HEAD	Gradangabe oder Abschlusszeichen	53	50	34	20	20	D_BEFORE_VALUE|D_BODY|D_LABEL|D_TERMINAL	CONTEXT_STRONG	ACCEPT_V38_CONTEXT_SCOPED_NOT_GLOBAL_LEXEME
G661-D27	qoteees	DRUG_KIND_S	kalter Qualitätsendwert, abgeschlossen	QO_FRAME+T_COLD+EEE_END+S_CLOSED	kalte Arzneispecies	2	2	2	2	2	EXACT_WHOLE	LOW_EXPLORATORY	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D28	alchey	RAW_COMPOSITE	Rohstoff I, trocken in der Gradmitte	AL_RAW_I+CH_DRY+EY_GRADE_MIDDLE	trocken gebundenes Drogenholz	4	4	4	2	2	EXACT_WHOLE	MEDIUM_EXACT_WHOLE	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
G661-D29	sheody	PREPARATION_YO	angefeuchteter Ansatz, abgeschlossen	SHEO_MOIST_PREP+DY_CLOSED	fertig aufbereitete Feuchtzubereitung	34	34	26	24	26	EXACT_WHOLE	STRONG_FAMILY_COMPOSITION	ACCEPT_V38_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
