rank	page	locus	surface	working_default_de	composition	strongest_rival_de	strength	zl3b_line	v37_translation_de	v38_translation_de	status
1	f112r	f112r.10	dam	Dosis I	D_DOSE+A_VALUE+M_UNIT_I	Maßeinheit I oder Schlussmarke	CONTEXT_STRONG	dair al chedy qodain dam	abgemessene Fraktion II; Rohstoffklasse I; trocken in der Mitte des Grades, abgeschlossen; Qualitätsgrad II; [dam:?]	abgemessene Fraktion II; Rohstoffklasse I; trocken in der Mitte des Grades, abgeschlossen; Qualitätsgrad II; Dosis I.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
2	f112r	f112r.13	ches	trockenes Drogenmaterial, Mittelstufe	CH_DRY+E_MIDDLE+S_BOUND	trockene Arzneispecies	MEDIUM_EXACT_WHOLE	sor aiin chdy ches qokeey okeey otaiin chcthy oteey dy	Samenportion; Menge III; trocken am Anfang des Grades, abgeschlossen; [ches:?]; heiß am Ende des Grades; heißer Ansatz am Ende des Grades; kalt im Zubereitungsrahmen, Grad III; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; kalter Ansatz am Ende des Grades.	Samenportion; Menge III; trocken am Anfang des Grades, abgeschlossen; trockenes Drogenmaterial, Mittelstufe; heiß am Ende des Grades; heißer Ansatz am Ende des Grades; kalt im Zubereitungsrahmen, Grad III; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; kalter Ansatz am Ende des Grades.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
3	f113r	f113r.15	chs	Trockengut, Grundform	CH_DRY+S_BOUND_BASE	trockene Arzneistoffform am Gradanfang	MEDIUM_EXACT_WHOLE	chol chs s aiin chaiiin	trocken; nominal trockenes Gut/Material; [chs:?]; Samen-/Saatgutposten; Menge III; trocken, Grad IV	trocken; nominal trockenes Gut/Material; Trockengut, Grundform; Samen-/Saatgutposten; Menge III; trocken, Grad IV	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
4	f115v	f115v.20	lkeey	Drogenholz, heiß am Gradende	L_WOOD+K_HOT+EEY_GRADE_END	heißer L-Rahmenwert ohne Holz	MEDIUM_EXACT_WHOLE	ysheey qoteey lkeey raiin cheo lor otal otchedy	Eintrag: feucht am Gradende; kalt am Ende des Grades; [lkeey:?]; Wurzel, Typ/Charge III; trocken angesetzte Zubereitung; Holzportion; Rohstoffklasse I im Ansatz, kalt am Gradanfang; kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen	Eintrag: feucht am Gradende; kalt am Ende des Grades; Drogenholz, heiß am Gradende; Wurzel, Typ/Charge III; trocken angesetzte Zubereitung; Holzportion; Rohstoffklasse I im Ansatz, kalt am Gradanfang; kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
5	f11r	f11r.7	okchol	heißer Ansatz aus Trockengut	O_PREP+K_HOT+CHOL_DRY_MATERIAL	heiß-trockener Zubereitungsstoff	STRONG_FAMILY_COMPOSITION	qotchy okchol cthy dy	kalt und trocken am Anfang des Grades; [okchol:?]; CTH-Drogenmaterial.	kalt und trocken am Anfang des Grades; heißer Ansatz aus Trockengut; CTH-Drogenmaterial.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
6	f15r	f15r.5	r	Wurzel	R_ROOT_HEAD	Harz oder Bezugszeichen	CONTEXT_STRONG	qotchy r shor cthy daiin cthy dy	kalt und trocken am Anfang des Grades; [r:?]; Blüten-/Fruchtstand; reproduktiver Teil; CTH-Drogenmaterial; Menge/Portion III; CTH-Drogenmaterial.	kalt und trocken am Anfang des Grades; Wurzel; Blüten-/Fruchtstand; reproduktiver Teil; CTH-Drogenmaterial; Menge/Portion III; CTH-Drogenmaterial.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
7	f15r	f15r.8	ctholy	Blatt-/Krautdroge, Grundform	CTHOL_HERBAL_MATERIAL+Y_BASE	unspezifisches CTH-Drogenmaterial	STRONG_FAMILY_COMPOSITION	shocthy tol kaiin s dain ctholy	feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung; kalt; nominal kaltes Gut/Material; heiß, Grad III; Samen-/Saatgutposten; Grad-/Maßwert II; [ctholy:?]	feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung; kalt; nominal kaltes Gut/Material; heiß, Grad III; Samen-/Saatgutposten; Grad-/Maßwert II; Blatt-/Krautdroge, Grundform	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
8	f15v	f15v.7	ols	Drogenstoffposten	OL_MATERIAL+S_BOUND	Samenstoff oder Sortenmarke	MEDIUM_EXACT_WHOLE	y choiin sho chy s chy tor ols	Eintrag: trockene Zubereitungsform III; feuchter Ansatz; trocken am Anfang des Grades; Samen-/Saatgutposten; trocken am Anfang des Grades; kalte Drogenportion; [ols:?]	Eintrag: trockene Zubereitungsform III; feuchter Ansatz; trocken am Anfang des Grades; Samen-/Saatgutposten; trocken am Anfang des Grades; kalte Drogenportion; Drogenstoffposten	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
9	f16r	f16r.13	dl	Rohstoffmaß	D_MEASURE+L_MATERIAL_SHORT	verkürztes DAL oder Drogenholzmaß	MEDIUM_EXACT_WHOLE	qokor dl dy shey	heiße Drogenportion; [dl:?]; feucht in der Mitte des Grades	heiße Drogenportion; Rohstoffmaß; feucht in der Mitte des Grades	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
10	f16v	f16v.10	ykchy	Eintrag/Bezug: heiß-trocken am Gradanfang	Y_ENTRY_REF+KCH_HOT_DRY+Y_GRADE_START	Y als reine Grenze vor KCHY	STRONG_FAMILY_COMPOSITION	qokchy chy dy ykchy chckhy otain cthor cthy	heiß und trocken am Anfang des Grades; trocken am Anfang des Grades; [ykchy:?]; Arzneikompositum: trocken, Gradanfang; kalt im Zubereitungsrahmen, Grad II; Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge; CTH-Drogenmaterial	heiß und trocken am Anfang des Grades; trocken am Anfang des Grades; hierzu: heiß-trocken am Gradanfang; Arzneikompositum: trocken, Gradanfang; kalt im Zubereitungsrahmen, Grad II; Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge; CTH-Drogenmaterial	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
