contact_id	page	locus	part_surface	cthy_surface	signed_distance_part_to_cthy	order	adjacent	both_triple_token_stable	working_part_pair_de	surface_line
G625-H001	f10r	f10r.6	chor	cthy	-1	CTHY_THEN_PART	1	1	Blüte/Fruchtstand und Blattgut	ycheor cthy chor cthaiin qoctholy dy chy taiin shy
G625-H002	f11r	f11r.5	shor	cthy	5	PART_THEN_CTHY	0	1	Blüte/Fruchtstand und Blattgut	tchol shor shor dky y daiin cthy d y chodl daiin
G625-H003	f11r	f11r.5	shor	cthy	4	PART_THEN_CTHY	0	1	Blüte/Fruchtstand und Blattgut	tchol shor shor dky y daiin cthy d y chodl daiin
G625-H004	f11r	f11r.6	dair	cthy	2	PART_THEN_CTHY	0	1	Wurzelteil und Blattgut	odl d s y otol chaiin ykchor dair chody cthy s daiin
G625-H005	f15r	f15r.5	shor	cthy	1	PART_THEN_CTHY	1	1	Blüte/Fruchtstand und Blattgut	qotchy r shor cthy daiin cthy dy
G625-H006	f15r	f15r.5	shor	cthy	3	PART_THEN_CTHY	0	1	Blüte/Fruchtstand und Blattgut	qotchy r shor cthy daiin cthy dy
G625-H007	f15r	f15r.13	shor	cthy	-3	CTHY_THEN_PART	0	1	Blüte/Fruchtstand und Blattgut	ykshol dor sheey cthy dain sky shor shoty
G625-H008	f15v	f15v.2	chor	cthy	5	PART_THEN_CTHY	0	1	Blüte/Fruchtstand und Blattgut	chor or oro r aiin cthy ain dar
G625-H009	f15v	f15v.5	chor	cthy	3	PART_THEN_CTHY	0	1	Blüte/Fruchtstand und Blattgut	otchor chor chor ytchor cthy s
G625-H010	f15v	f15v.5	chor	cthy	2	PART_THEN_CTHY	0	1	Blüte/Fruchtstand und Blattgut	otchor chor chor ytchor cthy s
G625-H011	f15v	f15v.10	chor	cthy	2	PART_THEN_CTHY	0	1	Blüte/Fruchtstand und Blattgut	sor chor cthoiin cthy qokaiin
G625-H012	f17r	f17r.5	chor	cthy	-1	CTHY_THEN_PART	1	1	Blüte/Fruchtstand und Blattgut	ychekchy cthy chor shor cphor cphaldy dair cthey qody
G625-H013	f17r	f17r.5	shor	cthy	-2	CTHY_THEN_PART	0	1	Blüte/Fruchtstand und Blattgut	ychekchy cthy chor shor cphor cphaldy dair cthey qody
G625-H014	f17r	f17r.5	dair	cthy	-5	CTHY_THEN_PART	0	1	Wurzelteil und Blattgut	ychekchy cthy chor shor cphor cphaldy dair cthey qody
G625-H015	f29r	f29r.8	shor	cthy	7	PART_THEN_CTHY	0	1	Blüte/Fruchtstand und Blattgut	shor chor shosheky shy qoty kody daiin cthy
G625-H016	f29r	f29r.8	chor	cthy	6	PART_THEN_CTHY	0	1	Blüte/Fruchtstand und Blattgut	shor chor shosheky shy qoty kody daiin cthy
G625-H017	f29v	f29v.1	shor	cthy	5	PART_THEN_CTHY	0	0	Blüte/Fruchtstand und Blattgut	kooiin shor chetchy ol ls shytchy cthy shy cho shy daiin
G625-H018	f2r	f2r.2	shor	cthy	1	PART_THEN_CTHY	1	1	Blüte/Fruchtstand und Blattgut	dorchory chkar s shor cthy
G625-H019	f36r	f36r.1	dair	cthy	-1	CTHY_THEN_PART	1	1	Wurzelteil und Blattgut	pcha dan qorain chcfhal soiin cphor shaiin cthy dair
G625-H020	f3r	f3r.19	dair	cthy	4	PART_THEN_CTHY	0	1	Wurzelteil und Blattgut	otchor ol cheor qoeor dair qoteol qosaiin chor cthy
G625-H021	f3r	f3r.19	chor	cthy	1	PART_THEN_CTHY	1	1	Blüte/Fruchtstand und Blattgut	otchor ol cheor qoeor dair qoteol qosaiin chor cthy
G625-H022	f3v	f3v.9	chor	cthy	1	PART_THEN_CTHY	1	1	Blüte/Fruchtstand und Blattgut	ytcheear okeol cthodoaly chor cthy
G625-H023	f45r	f45r.2	shor	cthy	1	PART_THEN_CTHY	1	0	Blüte/Fruchtstand und Blattgut	shor cthy qoky qokol qokaiin chol chol ykaiin dar om
G625-H024	f45v	f45v.2	chor	cthy	2	PART_THEN_CTHY	0	1	Blüte/Fruchtstand und Blattgut	okol chor daiin cthy okchol chom okolor dy okchol s
G625-H025	f4r	f4r.8	shor	cthy	3	PART_THEN_CTHY	0	1	Blüte/Fruchtstand und Blattgut	shor shol shol cthy cpholdy
G625-H026	f6r	f6r.2	chor	cthy	3	PART_THEN_CTHY	0	1	Blüte/Fruchtstand und Blattgut	daiin chckhy chor chor kar cthy cthor chotols
G625-H027	f6r	f6r.2	chor	cthy	2	PART_THEN_CTHY	0	1	Blüte/Fruchtstand und Blattgut	daiin chckhy chor chor kar cthy cthor chotols
G625-H028	f6r	f6r.12	chor	cthy	1	PART_THEN_CTHY	1	1	Blüte/Fruchtstand und Blattgut	or shol cthom chor cthy
G625-H029	f6v	f6v.13	chor	cthy	-2	CTHY_THEN_PART	0	1	Blüte/Fruchtstand und Blattgut	yodaiin cthy s chor oees or
G625-H030	f9r	f9r.1	shor	cthy	1	PART_THEN_CTHY	1	1	Blüte/Fruchtstand und Blattgut	tydlo choly cthor orchey s shy odaiin sary shor cthy
G625-H031	f9r	f9r.5	chor	cthy	2	PART_THEN_CTHY	0	1	Blüte/Fruchtstand und Blattgut	daiin chor sor cthy chokoiin shol dsholdy otchol ot dy
G625-H032	f9v	f9v.3	chor	cthy	3	PART_THEN_CTHY	0	1	Blüte/Fruchtstand und Blattgut	ykey chor ykaiin daiin cthy otaiin oky oeees daiin
