locality	frame_scope	direction	working_operation_de	pairs	stable_pairs	opened_image_pairs	direct_pairs	example_pair_ids
SAME_LINE	ALL_TERMINAL	DRY_TO_MOIST	einweichen/befeuchten	17	10	0	6	G625-P0002|G625-P0052|G625-P0063|G625-P0155|G625-P0179|G625-P0227|G625-P0245|G625-P0265
SAME_LINE	ALL_TERMINAL	MOIST_TO_DRY	trocknen/abtrocknen lassen	17	10	1	1	G625-P0003|G625-P0012|G625-P0020|G625-P0075|G625-P0077|G625-P0101|G625-P0113|G625-P0128
SAME_LINE	SAME_E_D	DRY_TO_MOIST	einweichen/befeuchten	10	6	0	4	G625-P0052|G625-P0155|G625-P0227|G625-P0265|G625-P0272|G625-P0399|G625-P0415|G625-P0423
SAME_LINE	SAME_E_D	MOIST_TO_DRY	trocknen/abtrocknen lassen	8	5	1	1	G625-P0101|G625-P0128|G625-P0200|G625-P0224|G625-P0234|G625-P0260|G625-P0279|G625-P0448
SAME_LINE	EXACT_FRAME	DRY_TO_MOIST	einweichen/befeuchten	5	3	0	3	G625-P0155|G625-P0265|G625-P0272|G625-P0433|G625-P0455
SAME_LINE	EXACT_FRAME	MOIST_TO_DRY	trocknen/abtrocknen lassen	0	0	0	0	NONE
NEXT_LINE	ALL_TERMINAL	DRY_TO_MOIST	einweichen/befeuchten	15	6	2	1	G625-P0069|G625-P0100|G625-P0117|G625-P0164|G625-P0191|G625-P0206|G625-P0278|G625-P0304
NEXT_LINE	ALL_TERMINAL	MOIST_TO_DRY	trocknen/abtrocknen lassen	14	8	1	0	G625-P0006|G625-P0180|G625-P0246|G625-P0266|G625-P0275|G625-P0337|G625-P0339|G625-P0366
NEXT_LINE	SAME_E_D	DRY_TO_MOIST	einweichen/befeuchten	9	3	2	1	G625-P0100|G625-P0117|G625-P0164|G625-P0191|G625-P0206|G625-P0278|G625-P0304|G625-P0327
NEXT_LINE	SAME_E_D	MOIST_TO_DRY	trocknen/abtrocknen lassen	5	3	1	0	G625-P0006|G625-P0246|G625-P0275|G625-P0337|G625-P0475
NEXT_LINE	EXACT_FRAME	DRY_TO_MOIST	einweichen/befeuchten	2	0	0	0	G625-P0100|G625-P0117
NEXT_LINE	EXACT_FRAME	MOIST_TO_DRY	trocknen/abtrocknen lassen	1	1	0	0	G625-P0475
LOCAL_TOTAL	ALL_TERMINAL	DRY_TO_MOIST	einweichen/befeuchten	32	16	2	7	G625-P0002|G625-P0052|G625-P0063|G625-P0069|G625-P0100|G625-P0117|G625-P0155|G625-P0164
LOCAL_TOTAL	ALL_TERMINAL	MOIST_TO_DRY	trocknen/abtrocknen lassen	31	18	2	1	G625-P0003|G625-P0006|G625-P0012|G625-P0020|G625-P0075|G625-P0077|G625-P0101|G625-P0113
LOCAL_TOTAL	SAME_E_D	DRY_TO_MOIST	einweichen/befeuchten	19	9	2	5	G625-P0052|G625-P0100|G625-P0117|G625-P0155|G625-P0164|G625-P0191|G625-P0206|G625-P0227
LOCAL_TOTAL	SAME_E_D	MOIST_TO_DRY	trocknen/abtrocknen lassen	13	8	2	1	G625-P0006|G625-P0101|G625-P0128|G625-P0200|G625-P0224|G625-P0234|G625-P0246|G625-P0260
LOCAL_TOTAL	EXACT_FRAME	DRY_TO_MOIST	einweichen/befeuchten	7	3	0	3	G625-P0100|G625-P0117|G625-P0155|G625-P0265|G625-P0272|G625-P0433|G625-P0455
LOCAL_TOTAL	EXACT_FRAME	MOIST_TO_DRY	trocknen/abtrocknen lassen	1	1	0	0	G625-P0475
