anchor_surface	occurrences	pages	immediate_quality_contacts	stable_immediate_quality_contacts	dry_ch_contacts	moist_sh_contacts	working_role
cthy	92	50	12	8	11	1	BLATTGUT_QUALITY_CARRIER
shor	91	62	8	5	6	2	INHERITED_OR_OPEN_CARRIER
chor	190	97	13	9	12	1	INHERITED_OR_OPEN_CARRIER
dair	77	59	4	2	3	1	INHERITED_OR_OPEN_CARRIER
sair	22	17	0	0	0	0	INHERITED_OR_OPEN_CARRIER
air	56	35	0	0	0	0	INHERITED_OR_OPEN_CARRIER
kooiin	2	2	0	0	0	0	INHERITED_OR_OPEN_CARRIER
koaiin	1	1	0	0	0	0	INHERITED_OR_OPEN_CARRIER
korary	1	1	0	0	0	0	INHERITED_OR_OPEN_CARRIER
koary	1	1	0	0	0	0	INHERITED_OR_OPEN_CARRIER
