pair_id	page	first_locus	second_locus	line_delta	first_surface	second_surface	first_state	second_state	axis_relation	direction	frame_relation	intervening_token_count	intervening_tokens	repeated_following_terms	known_local_anchors	both_triple_token_stable	section	opened_image_page	working_relation_de	surface_context
G625-P0001	f103r	f103r.26	f103r.27	1	qotchy	tchey	TCH	TCH	SAME_QUADRANT	TCH->TCH	E_OR_D_FRAME_CHANGE	11	shey|olcheedar|shey|lotor|qokechy|okeey|qokeey|lkeeody|sheey|qokeey|lkeol	okeey	NONE	0	S	0	gleicher Qualitätszustand	oteedy okeey qotchy shey olcheedar shey lotor / qokechy okeey qokeey lkeeody sheey qokeey lkeol tchey qokeey okeey qokaly
G625-P0002	f103r	f103r.30	f103r.30	0	pcholkchdy	oteeykshy	KCH	KSH	MOISTURE_FLIP	DRY_TO_MOIST	E_OR_D_FRAME_CHANGE	6	sheckhy|qokey|okaiin|shedy|chpchy|opchedy	okaiin	okaiin	1	S	0	befeuchten/einweichen, falls derselbe Träger	pcholkchdy sheckhy qokey okaiin shedy chpchy opchedy oteeykshy chdaly
G625-P0003	f103r	f103r.37	f103r.37	0	qokshy	qokchdy	KSH	KCH	MOISTURE_FLIP	MOIST_TO_DRY	E_OR_D_FRAME_CHANGE	1	qokeedy	chsky|eeey|shalky|otechedy	NONE	0	S	0	trocknen, falls derselbe Träger	pchedy qokeey qokeodair qokshy qokeedy qokchdy chsky eeey shalky
G625-P0004	f103r	f103r.48	f103r.48	0	shkchy	kchy	KCH	KCH	SAME_QUADRANT	KCH->KCH	SAME_E_D__EXTENDED_PREFIX_CHANGE	1	opchealol	sam|okeey|ain	NONE	0	S	0	gleicher Qualitätszustand	polarar lshedy qotolaiin qokeey qokeey shkchy opchealol kchy sam
G625-P0005	f104r	f104r.6	f104r.7	1	otchdy	otchedy	TCH	TCH	SAME_QUADRANT	TCH->TCH	E_OR_D_FRAME_CHANGE	5	otain|chedam|dchodees|sheos|odaiin	NONE	NONE	0	S	0	gleicher Qualitätszustand	y cheeody aiin lkar cheeo dain ockhedy qokeedy qotain otchdy otain chedam / dchodees sheos odaiin otchedy qodain shedy chedy qodain okar ar okaim
G625-P0006	f104r	f104r.18	f104r.19	1	otalkshedy	olkchedy	KSH	KCH	MOISTURE_FLIP	MOIST_TO_DRY	SAME_E_D__EXTENDED_PREFIX_CHANGE	5	toaiin|chdar|otar|shd|qotar	NONE	NONE	0	S	0	trocknen, falls derselbe Träger	dcheeokeody qokain qolar or chockhar otalkshedy / toaiin chdar otar shd qotar olkchedy cheokeey kary opair otor airod lshd
G625-P0007	f104r	f104r.19	f104r.20	1	olkchedy	qokchdy	KCH	KCH	SAME_QUADRANT	KCH->KCH	E_OR_D_FRAME_CHANGE	8	cheokeey|kary|opair|otor|airod|lshd|dsheoy|qocthey	NONE	NONE	1	S	0	gleicher Qualitätszustand	toaiin chdar otar shd qotar olkchedy cheokeey kary opair otor airod lshd / dsheoy qocthey qokchdy qokaiin chol rar cheody cheeekan ar ain ar alam
G625-P0008	f104r	f104r.20	f104r.21	1	qokchdy	olkchedy	KCH	KCH	SAME_QUADRANT	KCH->KCH	E_OR_D_FRAME_CHANGE	12	qokaiin|chol|rar|cheody|cheeekan|ar|ain|ar|alam|dsheedy|qokaiin|chear	NONE	NONE	1	S	0	gleicher Qualitätszustand	dsheoy qocthey qokchdy qokaiin chol rar cheody cheeekan ar ain ar alam / dsheedy qokaiin chear olkchedy charaiin
G625-P0009	f104r	f104r.21	f104r.22	1	olkchedy	kchedy	KCH	KCH	SAME_QUADRANT	KCH->KCH	SAME_E_D__EXTENDED_PREFIX_CHANGE	5	charaiin|tshedar|chllo|rl|shed	NONE	NONE	0	S	0	gleicher Qualitätszustand	dsheedy qokaiin chear olkchedy charaiin / tshedar chllo rl shed kchedy chokor cheedy opchar cheor chckhey taiin dam
G625-P0010	f104r	f104r.38	f104r.39	1	qotchdy	alkchdy	TCH	KCH	THERMAL_FLIP	COLD_TO_HOT	SAME_E_D__EXTENDED_PREFIX_CHANGE	3	pcholor|ar|aiin	aiin|qotal|chol	okaiin	0	S	0	kühlen/erwärmen, falls derselbe Träger	okaiin orcheol qokchol kcheody qotchdy / pcholor ar aiin alkchdy qotal chol qoar aiin qopcheedy qotair ofaiino
G625-P0011	f104r	f104r.43	f104r.43	0	qokchedy	ykchdy	KCH	KCH	SAME_QUADRANT	KCH->KCH	E_OR_D_FRAME_CHANGE	0	DIRECT	pchedy|qokeedy|oteey|qokain|oteo	NONE	0	S	0	gleicher Qualitätszustand	tsheodl qokaiin qokchedy ykchdy pchedy qokeedy oteey qokain oteo l dal
G625-P0012	f104v	f104v.15	f104v.15	0	tolkshey	qokchy	KSH	KCH	MOISTURE_FLIP	MOIST_TO_DRY	E_OR_D_FRAME_CHANGE	2	chocthy|qokeochy	qotcheo|dlchd	NONE	0	S	0	trocknen, falls derselbe Träger	tolkshey chocthy qokeochy qokchy qotcheo qotcheo dlchd chedy tchdy qotchdy ram
G625-P0013	f104v	f104v.15	f104v.15	0	qokchy	tchdy	KCH	TCH	THERMAL_FLIP	HOT_TO_COLD	E_OR_D_FRAME_CHANGE	4	qotcheo|qotcheo|dlchd|chedy	NONE	NONE	1	S	0	kühlen/erwärmen, falls derselbe Träger	tolkshey chocthy qokeochy qokchy qotcheo qotcheo dlchd chedy tchdy qotchdy ram
G625-P0014	f104v	f104v.15	f104v.15	0	tchdy	qotchdy	TCH	TCH	SAME_QUADRANT	TCH->TCH	REGISTERED_PREFIX_CHANGE__SAME_E_D	0	DIRECT	ram|dcheedy|qockheey|chdor	NONE	1	S	0	gleicher Qualitätszustand	tolkshey chocthy qokeochy qokchy qotcheo qotcheo dlchd chedy tchdy qotchdy ram
