locality	frame_scope	first_state	second_state	successive_pairs
SAME_LINE	ALL_TERMINAL	KCH	KCH	66
SAME_LINE	ALL_TERMINAL	KCH	KSH	11
SAME_LINE	ALL_TERMINAL	KCH	TCH	28
SAME_LINE	ALL_TERMINAL	KCH	TSH	7
SAME_LINE	ALL_TERMINAL	KSH	KCH	8
SAME_LINE	ALL_TERMINAL	KSH	KSH	7
SAME_LINE	ALL_TERMINAL	KSH	TCH	13
SAME_LINE	ALL_TERMINAL	KSH	TSH	1
SAME_LINE	ALL_TERMINAL	TCH	KCH	45
SAME_LINE	ALL_TERMINAL	TCH	KSH	2
SAME_LINE	ALL_TERMINAL	TCH	TCH	32
SAME_LINE	ALL_TERMINAL	TCH	TSH	6
SAME_LINE	ALL_TERMINAL	TSH	KCH	12
SAME_LINE	ALL_TERMINAL	TSH	KSH	2
SAME_LINE	ALL_TERMINAL	TSH	TCH	9
SAME_LINE	ALL_TERMINAL	TSH	TSH	1
SAME_LINE	SAME_E_D	KCH	KCH	33
SAME_LINE	SAME_E_D	KCH	KSH	5
SAME_LINE	SAME_E_D	KCH	TCH	10
SAME_LINE	SAME_E_D	KCH	TSH	3
SAME_LINE	SAME_E_D	KSH	KCH	3
SAME_LINE	SAME_E_D	KSH	KSH	2
SAME_LINE	SAME_E_D	KSH	TCH	6
SAME_LINE	SAME_E_D	KSH	TSH	0
SAME_LINE	SAME_E_D	TCH	KCH	33
SAME_LINE	SAME_E_D	TCH	KSH	1
SAME_LINE	SAME_E_D	TCH	TCH	17
SAME_LINE	SAME_E_D	TCH	TSH	5
SAME_LINE	SAME_E_D	TSH	KCH	7
SAME_LINE	SAME_E_D	TSH	KSH	2
SAME_LINE	SAME_E_D	TSH	TCH	5
SAME_LINE	SAME_E_D	TSH	TSH	0
SAME_LINE	EXACT_FRAME	KCH	KCH	8
SAME_LINE	EXACT_FRAME	KCH	KSH	2
SAME_LINE	EXACT_FRAME	KCH	TCH	4
SAME_LINE	EXACT_FRAME	KCH	TSH	1
SAME_LINE	EXACT_FRAME	KSH	KCH	0
SAME_LINE	EXACT_FRAME	KSH	KSH	0
SAME_LINE	EXACT_FRAME	KSH	TCH	1
SAME_LINE	EXACT_FRAME	KSH	TSH	0
SAME_LINE	EXACT_FRAME	TCH	KCH	15
SAME_LINE	EXACT_FRAME	TCH	KSH	0
SAME_LINE	EXACT_FRAME	TCH	TCH	4
SAME_LINE	EXACT_FRAME	TCH	TSH	3
SAME_LINE	EXACT_FRAME	TSH	KCH	2
