surface	moist_to_dry_bridges	dry_to_moist_bridges	other_pair_bridges	direction_balance	corpus_occurrences	herbal_occurrences	herbal_share	triple_stable_occurrences	drying_pair_ids	moistening_pair_ids	working_role
qokeedy	2	1	1	1	292	11	0.037671	201	G625-P0003|G625-P0113	G625-P0433	OPEN_BRIDGE
cthy	2	0	1	2	92	90	0.978261	85	G625-P0200|G625-P0279	NONE	BLATTGUT_OBJECT__NOT_DRYING_VERB
otar	2	0	3	2	123	24	0.195122	110	G625-P0101|G625-P0448	NONE	THEN_UNTIL_OR_EXPLICIT_PROCESS_TOKEN_CANDIDATE
shedy	1	3	2	-2	390	36	0.092308	219	G625-P0075	G625-P0002|G625-P0423|G625-P0433	OPEN_BRIDGE
chy	1	1	7	0	162	119	0.734568	114	G625-P0200	G625-P0455	OPEN_BRIDGE
okaiin	1	1	0	0	200	58	0.290000	177	G625-P0279	G625-P0002	OPEN_BRIDGE
qokaiin	1	1	2	0	261	34	0.130268	241	G625-P0260	G625-P0052	OPEN_BRIDGE
sheedy	1	1	0	0	77	5	0.064935	41	G625-P0020	G625-P0408	OPEN_BRIDGE
aiin	1	0	4	1	432	107	0.247685	338	G625-P0145	NONE	OPEN_BRIDGE
char	1	0	1	1	75	33	0.440000	55	G625-P0260	NONE	OPEN_BRIDGE
chdy	1	0	0	1	133	58	0.436090	89	G625-P0135	NONE	OPEN_BRIDGE
cheocthy	1	0	0	1	4	1	0.250000	4	G625-P0135	NONE	OPEN_BRIDGE
chocthy	1	0	2	1	17	13	0.764706	14	G625-P0012	NONE	OPEN_BRIDGE
chodar	1	0	0	1	9	4	0.444444	8	G625-P0135	NONE	OPEN_BRIDGE
daiir	1	0	0	1	14	8	0.571429	8	G625-P0260	NONE	OPEN_BRIDGE
dal	1	0	2	1	191	62	0.324607	147	G625-P0494	NONE	OPEN_BRIDGE
dar	1	0	2	1	245	110	0.448980	195	G625-P0135	NONE	OPEN_BRIDGE
dy	1	0	4	1	229	143	0.624454	149	G625-P0234	NONE	OPEN_BRIDGE
lkeeol	1	0	0	1	2	0	0.000000	2	G625-P0077	NONE	OPEN_BRIDGE
lkeey	1	0	0	1	38	2	0.052632	34	G625-P0077	NONE	OPEN_BRIDGE
oidal	1	0	0	1	1	0	0.000000	0	G625-P0128	NONE	OPEN_BRIDGE
ol	1	0	4	1	463	85	0.183585	376	G625-P0075	NONE	OPEN_BRIDGE
olol	1	0	0	1	14	5	0.357143	14	G625-P0260	NONE	OPEN_BRIDGE
oltedy	1	0	0	1	6	1	0.166667	4	G625-P0135	NONE	OPEN_BRIDGE
op	1	0	0	1	2	0	0.000000	1	G625-P0128	NONE	OPEN_BRIDGE
oty	1	0	2	1	101	51	0.504950	92	G625-P0200	NONE	OPEN_BRIDGE
qchar	1	0	0	1	1	0	0.000000	1	G625-P0101	NONE	OPEN_BRIDGE
qoaiin	1	0	0	1	21	8	0.380952	20	G625-P0260	NONE	OPEN_BRIDGE
qokeochy	1	0	0	1	1	0	0.000000	1	G625-P0012	NONE	OPEN_BRIDGE
qos	1	0	0	1	4	2	0.500000	4	G625-P0145	NONE	OPEN_BRIDGE
qotar	1	0	2	1	61	9	0.147541	53	G625-P0135	NONE	OPEN_BRIDGE
qotol	1	0	2	1	43	21	0.488372	40	G625-P0020	NONE	OPEN_BRIDGE
qotor	1	0	1	1	26	18	0.692308	22	G625-P0135	NONE	OPEN_BRIDGE
sheeeky	1	0	0	1	2	1	0.500000	0	G625-P0101	NONE	OPEN_BRIDGE
shoko	1	0	0	1	1	0	0.000000	1	G625-P0128	NONE	OPEN_BRIDGE
tar	1	0	0	1	40	14	0.350000	33	G625-P0101	NONE	OPEN_BRIDGE
tody	1	0	0	1	9	5	0.555556	4	G625-P0494	NONE	OPEN_BRIDGE
checphey	0	1	0	-1	2	0	0.000000	2	NONE	G625-P0455	OPEN_BRIDGE
chkeey	0	1	0	-1	13	8	0.615385	12	NONE	G625-P0415	OPEN_BRIDGE
chpchy	0	1	0	-1	3	0	0.000000	3	NONE	G625-P0002	OPEN_BRIDGE
dl	0	1	0	-1	18	5	0.277778	13	NONE	G625-P0502	OPEN_BRIDGE
l	0	1	3	-1	163	22	0.134969	38	NONE	G625-P0502	OPEN_BRIDGE
ld	0	1	0	-1	4	0	0.000000	3	NONE	G625-P0502	OPEN_BRIDGE
lo	0	1	0	-1	20	2	0.100000	15	NONE	G625-P0502	OPEN_BRIDGE
o	0	1	3	-1	146	67	0.458904	33	NONE	G625-P0399	OPEN_BRIDGE
okeeeykeey	0	1	0	-1	1	0	0.000000	0	NONE	G625-P0502	OPEN_BRIDGE
olkl	0	1	0	-1	1	0	0.000000	1	NONE	G625-P0399	OPEN_BRIDGE
opchedy	0	1	0	-1	48	4	0.083333	36	NONE	G625-P0002	OPEN_BRIDGE
or	0	1	1	-1	321	121	0.376947	235	NONE	G625-P0399	OPEN_BRIDGE
qo	0	1	0	-1	50	20	0.400000	24	NONE	G625-P0245	OPEN_BRIDGE
qodaiin	0	1	1	-1	41	14	0.341463	34	NONE	G625-P0455	OPEN_BRIDGE
qokain	0	1	1	-1	273	7	0.025641	256	NONE	G625-P0408	OPEN_BRIDGE
qokedy	0	1	4	-1	249	40	0.160643	164	NONE	G625-P0455	OPEN_BRIDGE
qokey	0	1	0	-1	96	8	0.083333	88	NONE	G625-P0002	OPEN_BRIDGE
qokol	0	1	1	-1	88	33	0.375000	82	NONE	G625-P0423	OPEN_BRIDGE
qoty	0	1	3	-1	86	32	0.372093	77	NONE	G625-P0481	OPEN_BRIDGE
sheckhy	0	1	0	-1	33	2	0.060606	24	NONE	G625-P0002	OPEN_BRIDGE
sheey	0	1	0	-1	127	23	0.181102	105	NONE	G625-P0502	OPEN_BRIDGE
ytchol	0	1	0	-1	5	3	0.600000	4	NONE	G625-P0481	OPEN_BRIDGE
