surface	cth_root	remainder	occurrences	pages	herbal_occurrences	herbal_share	triple_stable_occurrences	root_default_de	surface_default_de	status
cthy	cth	y	92	50	90	0.978261	85	Blatt-/Krautteil-Familie	Blattgut/Blattdroge	PRIMARY_CTHY_FORM
cthol	cth	ol	51	34	45	0.882353	50	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthor	cth	or	43	33	40	0.930233	39	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthey	cth	ey	38	33	29	0.763158	32	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
ctho	cth	o	18	18	17	0.944444	8	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthar	cth	ar	14	12	12	0.857143	13	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthody	cth	ody	13	11	11	0.846154	12	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthaiin	cth	aiin	11	10	11	1.000000	11	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthedy	cth	edy	11	9	2	0.181818	8	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
ctheey	cth	eey	10	9	6	0.600000	9	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
ctheol	cth	eol	8	8	3	0.375000	7	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthal	cth	al	7	5	5	0.714286	5	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthdy	cth	dy	7	7	2	0.285714	5	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthom	cth	om	5	5	5	1.000000	5	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cth	cth	BARE	4	4	4	1.000000	2	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthain	cth	ain	4	3	4	1.000000	4	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
ctheody	cth	eody	4	4	3	0.750000	4	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
ctheor	cth	eor	4	4	3	0.750000	3	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
ctholy	cth	oly	4	4	3	0.750000	4	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthod	cth	od	3	3	3	1.000000	2	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthan	cth	an	2	2	1	0.500000	2	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
ctheo	cth	eo	2	2	1	0.500000	0	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
ctheod	cth	eod	2	2	2	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthodal	cth	odal	2	2	2	1.000000	2	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthog	cth	og	2	2	2	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthoiin	cth	oiin	2	2	2	1.000000	2	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthory	cth	ory	2	2	2	1.000000	2	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthyd	cth	yd	2	2	2	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthaiar	cth	aiar	1	1	1	1.000000	0	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthaildy	cth	aildy	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
ctham	cth	am	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
ctharad	cth	arad	1	1	0	0.000000	0	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
ctharal	cth	aral	1	1	0	0.000000	0	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthay	cth	ay	1	1	1	1.000000	0	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthd	cth	d	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
cthdaly	cth	daly	1	1	1	1.000000	1	Blatt-/Krautteil-Familie	cth-Pflanzenteilform; Endung offen	ROOT_FAMILY_VARIANT
