occurrence_id	page	locus	line_number	token_index	surface	section	language	hand	prefix	registered_grid	thermal	moisture	e_bit	d_bit	state_id	working_state_de	triple_reading_token_stable
G625-Q0001	f100v	f100v.7	7	1	ykchdy	P	A	1	y	0	k	ch	0	1	KCH	heiß-trocken	1
G625-Q0002	f102r1	f102r1.9	9	6	qokshdy	P	A	1	qo	1	k	sh	0	1	KSH	heiß-feucht	0
G625-Q0003	f102r1	f102r1.13	13	5	okshey	P	A	1	o	1	k	sh	1	0	KSH	heiß-feucht	1
G625-Q0004	f102v1	f102v1.22	22	8	okchy	P	A	1	o	1	k	ch	0	0	KCH	heiß-trocken	1
G625-Q0005	f103r	f103r.2	2	9	otchy	S	B	3	o	1	t	ch	0	0	TCH	kalt-trocken	1
G625-Q0006	f103r	f103r.13	13	10	tshdy	S	B	3	BARE	1	t	sh	0	1	TSH	kalt-feucht	0
G625-Q0007	f103r	f103r.16	16	10	tchey	S	B	3	BARE	1	t	ch	1	0	TCH	kalt-trocken	1
G625-Q0008	f103r	f103r.26	26	3	qotchy	S	B	3	qo	1	t	ch	0	0	TCH	kalt-trocken	0
G625-Q0009	f103r	f103r.27	27	8	tchey	S	B	3	BARE	1	t	ch	1	0	TCH	kalt-trocken	1
G625-Q0010	f103r	f103r.30	30	1	pcholkchdy	S	B	3	pchol	0	k	ch	0	1	KCH	heiß-trocken	1
G625-Q0011	f103r	f103r.30	30	8	oteeykshy	S	B	3	oteey	0	k	sh	0	0	KSH	heiß-feucht	1
G625-Q0012	f103r	f103r.37	37	4	qokshy	S	B	3	qo	1	k	sh	0	0	KSH	heiß-feucht	1
G625-Q0013	f103r	f103r.37	37	6	qokchdy	S	B	3	qo	1	k	ch	0	1	KCH	heiß-trocken	0
G625-Q0014	f103r	f103r.42	42	1	tshey	S	B	3	BARE	1	t	sh	1	0	TSH	kalt-feucht	0
G625-Q0015	f103r	f103r.44	44	5	otshedy	S	B	3	o	1	t	sh	1	1	TSH	kalt-feucht	1
G625-Q0016	f103r	f103r.48	48	6	shkchy	S	B	3	sh	0	k	ch	0	0	KCH	heiß-trocken	1
G625-Q0017	f103r	f103r.48	48	8	kchy	S	B	3	BARE	1	k	ch	0	0	KCH	heiß-trocken	0
G625-Q0018	f103v	f103v.5	5	4	qokshdy	S	B	3	qo	1	k	sh	0	1	KSH	heiß-feucht	1
G625-Q0019	f103v	f103v.9	9	8	qotchedy	S	B	3	qo	1	t	ch	1	1	TCH	kalt-trocken	1
G625-Q0020	f103v	f103v.13	13	6	qotshdy	S	B	3	qo	1	t	sh	0	1	TSH	kalt-feucht	1
G625-Q0021	f103v	f103v.16	16	2	sheekchy	S	B	3	shee	0	k	ch	0	0	KCH	heiß-trocken	1
G625-Q0022	f103v	f103v.22	22	2	qokshy	S	B	3	qo	1	k	sh	0	0	KSH	heiß-feucht	1
G625-Q0023	f103v	f103v.29	29	3	lkchdy	S	B	3	l	0	k	ch	0	1	KCH	heiß-trocken	0
